Brewery,City,Name,Abv,Ibu,Srm,Tags
Amherst Brewing Company,Amherst,Amherst ESB,5.35%,?,?,british_ale|extra_special_bitter
Amherst Brewing Company,Amherst,Bankers Gold,4.6%,?,?,north_american_ale|golden_or_blonde_ale
Amherst Brewing Company,Amherst,Boltwood Bock,5.7%,?,?,german_lager|traditional_german_style_bock
Amherst Brewing Company,Amherst,Cascade IPA,5.3%,?,?,north_american_ale|american_style_india_pale_ale
Amherst Brewing Company,Amherst,Graduation Ale,5.5%,?,?,north_american_ale|american_style_pale_ale
Amherst Brewing Company,Amherst,Half in the Bagpipe,7.2%,?,?,british_ale|scotch_ale
Amherst Brewing Company,Amherst,Heather Ale,5.4%,?,?,other_style|herb_and_spice_beer
Amherst Brewing Company,Amherst,Honey Pilsner,5.2%,?,?,german_lager|german_style_pilsener
Amherst Brewing Company,Amherst,Lewmeister Oktoberfest,5.4%,?,?,german_lager|german_style_oktoberfest
Amherst Brewing Company,Amherst,Massatucky Brown,5.25%,?,?,north_american_ale|american_style_brown_ale
Amherst Brewing Company,Amherst,North Pleasant Pale Ale,5.25%,?,?,north_american_ale|american_style_pale_ale
Amherst Brewing Company,Amherst,Olde #8 Anniversary Ale,6.85%,?,?,german_ale|german_style_brown_ale_altbier
Amherst Brewing Company,Amherst,Patriots Pilsner,4.8%,?,?,german_lager|german_style_pilsener
Amherst Brewing Company,Amherst,Puffers Smoked Porter,4.6%,?,?,irish_ale|porter
Amherst Brewing Company,Amherst,Raspberry Brown Ale,4.9%,?,?,north_american_ale|american_style_brown_ale
Amherst Brewing Company,Amherst,Righteous Red,4.6%,?,?,north_american_ale|american_style_amber_red_ale
Amherst Brewing Company,Amherst,Two Sisters Imperial Stout,6.7%,?,?,north_american_ale|american_style_imperial_stout
Amherst Brewing Company,Amherst,Workingman's Wheat,4.9%,?,?,german_ale|south_german_style_hefeweizen
Boston Beer Company,Boston,Hard Core Crisp Apple Cider,?,?,?,?
Boston Beer Company,Boston,Longshot American Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Boston Beer Company,Boston,Longshot Black Lager,?,?,?,?
Boston Beer Company,Boston,Longshot Hazelnut Brown,?,?,?,?
Boston Beer Company,Boston,Sam Adams Light,?,?,?,north_american_lager|american_style_light_lager
Boston Beer Company,Boston,Samuel Adams Black Lager,4.9%,?,?,german_lager|german_style_schwarzbier
Boston Beer Company,Boston,Samuel Adams Blackberry Witbier,5.5%,?,?,belgian_and_french_ale|belgian_style_white
Boston Beer Company,Boston,Samuel Adams Boston Ale,4.94%,?,?,north_american_ale|american_style_pale_ale
Boston Beer Company,Boston,Samuel Adams Boston Lager,4.75%,?,?,north_american_lager|american_style_lager
Boston Beer Company,Boston,Samuel Adams Brown Ale,5.35%,?,?,north_american_ale|american_style_brown_ale
Boston Beer Company,Boston,Samuel Adams Cherry Wheat,?,?,?,british_ale|english_style_pale_mild_ale
Boston Beer Company,Boston,Samuel Adams Chocolate Bock,5.5%,?,?,german_lager|traditional_german_style_bock
Boston Beer Company,Boston,Samuel Adams Coastal Wheat,5.3%,?,?,german_ale|south_german_style_hefeweizen
Boston Beer Company,Boston,Samuel Adams Cranberry Lambic,5.9%,?,?,belgian_and_french_ale|belgian_style_fruit_lambic
Boston Beer Company,Boston,Samuel Adams Cream Stout,?,?,?,north_american_ale|american_style_stout
Boston Beer Company,Boston,Samuel Adams Double Bock,8.8%,?,?,german_lager|traditional_german_style_bock
Boston Beer Company,Boston,Samuel Adams Golden Pilsner,?,?,?,?
Boston Beer Company,Boston,Samuel Adams Hallertau Imperial Pilsner,8.8%,?,?,?
Boston Beer Company,Boston,Samuel Adams Hefeweizen,?,?,?,german_ale|south_german_style_hefeweizen
Boston Beer Company,Boston,Samuel Adams Holiday Porter,5.8%,?,?,irish_ale|porter
Boston Beer Company,Boston,Samuel Adams Honey Porter,?,?,?,irish_ale|porter
Boston Beer Company,Boston,Samuel Adams Imperial Stout,9.2%,?,?,north_american_ale|american_style_imperial_stout
Boston Beer Company,Boston,Samuel Adams Imperial White,10.3%,?,?,belgian_and_french_ale|belgian_style_white
Boston Beer Company,Boston,Samuel Adams Irish Red,?,?,?,irish_ale|irish_style_red_ale
Boston Beer Company,Boston,Samuel Adams Noble Pils,5.2%,?,?,german_lager|german_style_pilsener
