Name,Address,City,State,Code,Website,Tags
Allagash Brewing,100 Industrial Way,Portland,ME,4103,?,?
Andrew's Brewing,?,Lincolnville,ME,4849,?,?
Atlantic Brewing Company,15 Knox Rd.,Bar Harbor,ME,4609,?,?
Bar Harbor Brewing Company,8 Mt. Desert Street,Bar Harbor,ME,4609,?,?
Baxter Brewing,?,Lewiston,ME,,?,?
Belfast Bay Brewing Company,100 Searsport Avenue,Belfast,ME,4915,?,?
D.L. Geary Brewing Company,38 Evergreen Drive,Portland,ME,4103,?,?
Marshall Wharf Brewing Company,2 Pinchy Lane,Belfast,ME,4915,?,?
Pugsley Brewing,?,Portland,ME,,?,?
Sea Dog Brewing Company,26 Front Street,Bangor,ME,4401,?,?
Shipyard Brewing - Portland,86 Newbury Street,Portland,ME,4101,?,?
Stone Coast Brewing - Portland,23 Rice Street,Portland,ME,4103,?,?
