Brewery,City,Name,Abv,Ibu,Srm,Tags
Catamount Brewing,White River Junction,Porter,?,?,?,irish_ale|porter
Green Mountain Beverage,Middlebury,Cider Jack,?,?,?,other_style|fruit_beer
Green Mountain Beverage,Middlebury,Woodchuck Amber Draft Cider,5%,?,?,other_style|fruit_beer
Green Mountain Beverage,Middlebury,Woodchuck Dark and Dry Draft Cider,5%,?,?,other_style|fruit_beer
Green Mountain Beverage,Middlebury,Woodchuck Granny Smith Varietal Draft Cider,5%,?,?,other_style|fruit_beer
Harpoon Brewery - Windsor,Windsor,ESB,?,?,?,?
Harpoon Brewery - Windsor,Windsor,Harpoon IPA,5.9%,?,?,north_american_ale|american_style_india_pale_ale
Kross Brewing,Morrisville,Brueghel Blonde,5.9%,?,?,belgian_and_french_ale|belgian_style_tripel
Long Trail Brewing Co,Bridgewater Corners,Belgian White,4.7%,?,?,belgian_and_french_ale|belgian_style_white
Long Trail Brewing Co,Bridgewater Corners,Blackbeary Wheat,4%,?,?,other_style|light_american_wheat_ale_or_lager
Long Trail Brewing Co,Bridgewater Corners,Double Bag Ale,7.2%,?,?,belgian_and_french_ale|belgian_style_dubbel
Long Trail Brewing Co,Bridgewater Corners,Harvest,4.4%,?,?,north_american_ale|american_style_brown_ale
Long Trail Brewing Co,Bridgewater Corners,Hibernator,6%,?,?,british_ale|scotch_ale
Long Trail Brewing Co,Bridgewater Corners,Long Trail Ale,4.6%,?,?,german_ale|german_style_brown_ale_altbier
Long Trail Brewing Co,Bridgewater Corners,Long Trail Hefeweizen,5%,?,?,german_ale|south_german_style_hefeweizen
Long Trail Brewing Co,Bridgewater Corners,Traditional IPA,5.9%,?,?,north_american_ale|american_style_india_pale_ale
Magic Hat,South Burlington,#9,4.6%,?,?,north_american_ale|american_style_pale_ale
Magic Hat,South Burlington,Braggot,6%,?,?,?
Magic Hat,South Burlington,Chaotic Chemistry,10.8%,?,?,north_american_ale|american_style_barley_wine_ale
Magic Hat,South Burlington,Circus Boy,5.2%,?,?,german_ale|south_german_style_hefeweizen
Magic Hat,South Burlington,Feast of Fools,5.3%,?,?,other_style|fruit_beer
Magic Hat,South Burlington,HIPA,6.8%,?,?,north_american_ale|american_style_india_pale_ale
Magic Hat,South Burlington,Hocus Pocus,4.5%,?,?,other_style|light_american_wheat_ale_or_lager
Magic Hat,South Burlington,Howl,4.6%,?,?,north_american_lager|american_style_lager
Magic Hat,South Burlington,Jinx,6.9%,?,?,british_ale|scotch_ale
Magic Hat,South Burlington,Lucky Kat,5.8%,?,?,north_american_ale|american_style_india_pale_ale
Magic Hat,South Burlington,Odd Notion Spring 08,4.6%,?,?,irish_ale|irish_style_red_ale
Magic Hat,South Burlington,Odd Notion Summer 08,3.6%,?,?,?
Magic Hat,South Burlington,Odd Notion Winter 07,7.5%,?,?,?
Magic Hat,South Burlington,Odd Notion Winter 08,7.5%,?,?,?
Magic Hat,South Burlington,Roxy Rolles,5.8%,?,?,north_american_ale|american_style_amber_red_ale
Magic Hat,South Burlington,Scumptious Spring Lager (Vinyl),?,?,?,?
Magic Hat,South Burlington,Single Chair Ale,5%,?,?,north_american_ale|american_style_pale_ale
Magic Hat,South Burlington,Thumbsucker,7.8%,?,?,north_american_ale|american_style_imperial_stout
Magic Hat,South Burlington,Wacko,4.5%,?,?,other_style|fruit_beer
Orlio Organic,South Burlington,Orlio Common Ale,5%,?,?,?
Orlio Organic,South Burlington,Orlio Seasonal Black Lager,4.5%,?,?,german_lager|german_style_schwarzbier
Orlio Organic,South Burlington,Orlio Seasonal India Pale Ale,5.4%,?,?,north_american_ale|american_style_india_pale_ale
Otter Creek Brewing & Wolaver's Organic Ales,Middlebury,Alta Gracia Coffee Porter,?,?,?,north_american_ale|porter
Otter Creek Brewing & Wolaver's Organic Ales,Middlebury,Copper Ale,?,?,?,north_american_ale|american_style_brown_ale
Otter Creek Brewing & Wolaver's Organic Ales,Middlebury,Oktoberfest,?,?,?,german_lager|german_style_oktoberfest
Otter Creek Brewing & Wolaver's Organic Ales,Middlebury,Otter Creek Imperial India Pale Ale,11%,?,?,north_american_ale|imperial_or_double_india_pale_ale
Otter Creek Brewing & Wolaver's Organic Ales,Middlebury,Otter Creek Russian Imperial Stout,10.6%,?,?,north_american_ale|american_style_imperial_stout
Otter Creek Brewing & Wolaver's Organic Ales,Middlebury,Pale Ale,?,?,?,north_american_ale|american_style_amber_red_ale
Otter Creek Brewing & Wolaver's Organic Ales,Middlebury,Stovepipe Porter,?,?,?,irish_ale|porter
Otter Creek Brewing & Wolaver's Organic Ales,Middlebury,Vermont Lager,?,?,?,north_american_lager|american_style_lager
Otter Creek Brewing & Wolaver's Organic Ales,Middlebury,White Sail,?,?,?,belgian_and_french_ale|belgian_style_white
Rock Art Brewery,Morrisville,Ridge Runner Barley Wine,7.5%,?,?,?
