Name,Address,City,State,Code,Website,Tags
Basil T's Brew Pub and Italian Grill,1171 Hooper Avenue,Toms River,NJ,8753,?,?
Climax Brewing Copmany,112 Valley Road,Roselle Park,NJ,7204,?,?
Cricket Hill,24 Kulick Road,Fairfield,NJ,7004,?,?
Flying Fish Brewing Company,1940 Olney Avenue,Cherry Hill,NJ,8003,?,?
Gaslight Brewery,15 South Orange Avenue,South Orange,NJ,7079,?,?
Harvest Moon Brewery / Cafe,392 George Street,New Brunswick,NJ,8901,?,?
Heavyweight Brewing,?,Ocean,NJ,,?,?
High Point Wheat Beer Company,22 Park Place,Butler,NJ,7405,?,?
JJ Bitting Brewing,33 Main Street,Woodbridge,NJ,7095,?,?
Joshua Huddy's Brew Pub and Grill,?,Toms River,NJ,8753,?,?
Krogh's Restaurant and Brewpub,23 White Deer Plaza,Sparta,NJ,7871,?,?
Long Valley Pub & Brewery,1 Fairmount Road,Long Valley,NJ,7853,?,?
New Jersey Beer Company,4201 Tonnelle Avenue,North Bergen,NJ,07047,?,?
Original Basil T's,183 Riverside Avenue,Red Bank,NJ,7701,?,?
Pizzeria Uno Chicago Grill & Brewery,61 US Highway 1 South,Metuchen,NJ,8840,?,?
River Horse Brewing Company,80 LAMBERT LANE,Lambertville,NJ,8530,?,?
Ship Inn Brewpub,61 Bridge Street,Milford,NJ,8848,?,?
Trap Rock Restaurant and Brewery,279 Springfield Avenue,Berkeley Heights,NJ,7922,?,?
Triumph Brewing of Princeton,138 Nassau Street,Princeton,NJ,8542,?,?
