Brewery,City,Name,Abv,Ibu,Srm,Tags
Blue Point Brewing,Patchogue,Fresh Hops Pale Ale,5%,36,?,north_american_ale|american_style_pale_ale
Blue Point Brewing,Patchogue,Hoptical Illusion,6.8%,?,?,north_american_ale|american_style_india_pale_ale
Blue Point Brewing,Patchogue,Oatmeal Stout,4.5%,?,?,british_ale|oatmeal_stout
Blue Point Brewing,Patchogue,Oktoberfest,5.01%,28,?,german_lager|german_style_oktoberfest
Blue Point Brewing,Patchogue,Sour Cherry Imperial Stout,?,?,?,north_american_ale|american_style_imperial_stout
Blue Point Brewing,Patchogue,Spring Fling,6%,?,?,north_american_ale|american_style_pale_ale
Blue Point Brewing,Patchogue,Toasted Lager,5.3%,?,?,north_american_lager|american_style_lager
Brewery Ommegang,Cooperstown,Abbey Dubbel,8.5%,?,?,belgian_and_french_ale|belgian_style_dubbel
Brewery Ommegang,Cooperstown,Hennepin Farmhouse Ale,7.7%,?,?,?
Brewery Ommegang,Cooperstown,Obamagang Inauguration Ale,?,?,?,north_american_ale|american_style_stout
Brewery Ommegang,Cooperstown,Rare Vos,6.5%,?,?,belgian_and_french_ale|other_belgian_style_ales
Brewery Ommegang,Cooperstown,Three Philosophers,9.8%,?,?,belgian_and_french_ale|belgian_style_quadrupel
Brooklyn Brewery,Brooklyn,Black Chocolate Stout,10%,?,?,north_american_ale|american_style_stout
Brooklyn Brewery,Brooklyn,Black Ops,11%,?,?,north_american_ale|american_style_imperial_stout
Brooklyn Brewery,Brooklyn,Brooklyn Lager,5.2%,?,?,?
Brooklyn Brewery,Brooklyn,Brooklyn Summer Ale,?,?,?,north_american_ale|golden_or_blonde_ale
Brooklyn Brewery,Brooklyn,Brown Ale,5.6%,?,?,north_american_ale|american_style_brown_ale
Brooklyn Brewery,Brooklyn,East India Pale Ale,6.8%,?,?,north_american_ale|american_style_india_pale_ale
Brooklyn Brewery,Brooklyn,Local 1,9%,?,?,belgian_and_french_ale|belgian_style_pale_strong_ale
Brooklyn Brewery,Brooklyn,Local 2,8.7%,?,?,belgian_and_french_ale|belgian_style_dark_strong_ale
Brooklyn Brewery,Brooklyn,Oktoberfest,5.5%,?,?,north_american_lager|american_style_lager
Brooklyn Brewery,Brooklyn,Saison De Brooklyn,6.8%,?,?,belgian_and_french_ale|french_&_belgian_style_saison
Brooklyn Brewery,Brooklyn,Winter Ale,?,?,?,other_style|winter_warmer
Captain Lawrence Brewing Company,Pleasantville,Brown Bird Brown Ale,4.8%,?,?,north_american_ale|american_style_brown_ale
Captain Lawrence Brewing Company,Pleasantville,Captain Lawrence Xtra Gold,10%,?,?,belgian_and_french_ale|belgian_style_tripel
Captain Lawrence Brewing Company,Pleasantville,Captain's Reserve Imperial IPA,9%,?,?,north_american_ale|imperial_or_double_india_pale_ale
Captain Lawrence Brewing Company,Pleasantville,Captin Lawrence Liquid Gold,6%,?,?,belgian_and_french_ale|belgian_style_pale_ale
Captain Lawrence Brewing Company,Pleasantville,Captin Lawrence Pale Ale,5.6%,?,?,north_american_ale|american_style_pale_ale
Captain Lawrence Brewing Company,Pleasantville,Captin Lawrence Smoked Porter,6.4%,?,?,irish_ale|porter
Captain Lawrence Brewing Company,Pleasantville,Golden Delicious,?,?,?,belgian_and_french_ale|belgian_style_tripel
Captain Lawrence Brewing Company,Pleasantville,Nor' Easter,12%,?,?,belgian_and_french_ale|belgian_style_dark_strong_ale
Captain Lawrence Brewing Company,Pleasantville,Sun Block - Belgian Style Witte,?,?,?,belgian_and_french_ale|belgian_style_white
Chelsea Brewing Company,New York,Blueberry Wheat,?,?,?,other_style|light_american_wheat_ale_or_lager
Chelsea Brewing Company,New York,Checker Cab Blonde Ale,5.2%,?,?,?
Chelsea Brewing Company,New York,Henry Hudson IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Chelsea Brewing Company,New York,Sunset Red Ale,5%,?,?,north_american_ale|american_style_pale_ale
Cooper's Cave Ale Company,Glens Falls,Bumppo's Brown Ale,?,?,?,north_american_ale|american_style_brown_ale
Cooper's Cave Ale Company,Glens Falls,Cooper's Cave Pale Ale,?,?,?,british_ale|classic_english_style_pale_ale
Cooper's Cave Ale Company,Glens Falls,Cooper's Cave Tavern Ale,?,?,?,british_ale|ordinary_bitter
Cooper's Cave Ale Company,Glens Falls,Pathfinder's Porter,?,?,?,irish_ale|porter
Cooper's Cave Ale Company,Glens Falls,Radeau Red Ale,?,?,?,irish_ale|irish_style_red_ale
Cooper's Cave Ale Company,Glens Falls,Sagamore Stout,?,?,?,north_american_ale|american_style_stout
Cooperstown Brewing Company,Milford,Backyard India Pale Ale,6.1%,?,?,british_ale|english_style_india_pale_ale
Cooperstown Brewing Company,Milford,Benchwarmer Porter,6.4%,?,?,irish_ale|porter
Cooperstown Brewing Company,Milford,Nine Men Ale,4.3%,?,?,north_american_ale|golden_or_blonde_ale
Cooperstown Brewing Company,Milford,Old Slugger Pale Ale,5.5%,?,?,north_american_ale|american_style_pale_ale
Cooperstown Brewing Company,Milford,Pride of Milford Special Ale,7.7%,?,?,?
Cooperstown Brewing Company,Milford,Strike Out Stout,4.6%,?,?,north_american_ale|american_style_stout
F.X. Matt Brewing,Utica,Pomegranate Wheat,4.7%,?,?,other_style|fruit_beer
F.X. Matt Brewing,Utica,Roggen Bock,5.5%,?,?,german_lager|traditional_german_style_bock
F.X. Matt Brewing,Utica,Saranac Adirondack Lager,5.5%,?,?,north_american_lager|american_style_lager
F.X. Matt Brewing,Utica,Saranac Belgian Ale,5.9%,?,?,belgian_and_french_ale|other_belgian_style_ales
F.X. Matt Brewing,Utica,Saranac Belgian White,5.3%,?,?,belgian_and_french_ale|belgian_style_white
F.X. Matt Brewing,Utica,Saranac Black & Tan,5.1%,?,?,?
F.X. Matt Brewing,Utica,Saranac Black Diamond Bock,6%,?,?,german_lager|traditional_german_style_bock
F.X. Matt Brewing,Utica,Saranac Black Forest,5.3%,?,?,german_lager|german_style_schwarzbier
F.X. Matt Brewing,Utica,Saranac Bock,6%,?,?,german_lager|traditional_german_style_bock
F.X. Matt Brewing,Utica,Saranac Brown Ale,6%,?,?,north_american_ale|american_style_brown_ale
F.X. Matt Brewing,Utica,Saranac Caramel Porter,5.4%,?,?,irish_ale|porter
F.X. Matt Brewing,Utica,Saranac Chocolate Amber,5.5%,?,?,?
F.X. Matt Brewing,Utica,Saranac Extra Special Bitter,5.5%,?,?,british_ale|extra_special_bitter
F.X. Matt Brewing,Utica,Saranac Golden Pilsner,5.1%,?,?,german_lager|german_style_pilsener
F.X. Matt Brewing,Utica,Saranac Hefeweizen,5.6%,?,?,german_ale|south_german_style_hefeweizen
F.X. Matt Brewing,Utica,Saranac Imperial IPA,8.5%,?,?,north_american_ale|imperial_or_double_india_pale_ale
F.X. Matt Brewing,Utica,Saranac Imperial Stout,9%,?,?,north_american_ale|american_style_imperial_stout
F.X. Matt Brewing,Utica,Saranac India Pale Ale,5.8%,?,?,north_american_ale|american_style_india_pale_ale
F.X. Matt Brewing,Utica,Saranac Kolsch,5%,?,?,?
F.X. Matt Brewing,Utica,Saranac Lager,4.8%,?,?,north_american_lager|american_style_lager
F.X. Matt Brewing,Utica,Saranac Marzenbier,5.6%,?,?,?
F.X. Matt Brewing,Utica,Saranac Mocha Stout,5%,?,?,north_american_ale|american_style_stout
F.X. Matt Brewing,Utica,Saranac Mountain Ale,5%,?,?,other_style|fruit_beer
F.X. Matt Brewing,Utica,Saranac Nut Brown Ale,5.4%,?,?,north_american_ale|american_style_brown_ale
F.X. Matt Brewing,Utica,Saranac Oatmeal Stout,4.3%,?,?,british_ale|oatmeal_stout
F.X. Matt Brewing,Utica,Saranac Octoberfest,5.4%,?,?,german_lager|german_style_oktoberfest
F.X. Matt Brewing,Utica,Saranac Pale Ale,5.5%,?,?,north_american_ale|american_style_pale_ale
F.X. Matt Brewing,Utica,Saranac Pumpkin Ale,5.4%,?,?,other_style|pumpkin_beer
F.X. Matt Brewing,Utica,Saranac Rachbier,5.6%,?,?,?
F.X. Matt Brewing,Utica,Saranac Scotch Ale,6%,?,?,british_ale|scotch_ale
F.X. Matt Brewing,Utica,Saranac Season's Best,5.3%,?,?,north_american_lager|american_style_lager
F.X. Matt Brewing,Utica,Saranac Single Malt,5.5%,?,?,british_ale|scotch_ale
F.X. Matt Brewing,Utica,Saranac Summer Ale,4.7%,?,?,other_style|light_american_wheat_ale_or_lager
F.X. Matt Brewing,Utica,Saranac Winter Wassail,5.8%,?,?,other_style|winter_warmer
Flour City Brewing,Rochester,Ironhead Porter Old No. 3,6%,?,?,irish_ale|porter
Flying Bison Brewing,Buffalo,Aviator Red,5.25%,?,?,north_american_ale|american_style_amber_red_ale
Flying Bison Brewing,Buffalo,Barnstormer Pale Ale,4.8%,?,?,north_american_ale|american_style_pale_ale
