Name,Address1,Address2,City,State,Code,Website
Blue Point Brewing,161 River Avenue,?,Patchogue,NY,11772,www.bluepointbrewing.com
Brewery Ommegang,656 County Highway 33,?,Cooperstown,NY,13326,?
Brooklyn Brewery,79 North Eleventh Street,?,Brooklyn,NY,11211,www.brooklynbrewery.com
C.H. Evans Brewing Company,19 Quackenbush Square,?,Albany,NY,12207,www.evansale.com
Captain Lawrence Brewing Company,99 Castleton Street,?,Pleasantville,NY,10570,www.captainlawrencebrewing.com
Chelsea Brewing Company,Chelsea Piers | Pier 59,?,New York,NY,10011,chelseabrewingco.com
Cooper's Cave Ale Company,2 Sagamore Street,?,Glens Falls,NY,12801,www.cooperscaveale.com
Cooperstown Brewing Company,River Street | P.O. Box 276,?,Milford,NY,13807,www.cooperstownbrewing.com
F.X. Matt Brewing,811 Edward Street,?,Utica,NY,13502,www.saranac.com
Flour City Brewing,?,?,Rochester,NY,?,?
Flying Bison Brewing,491 Ontario Street,?,Buffalo,NY,14207,www.flyingbisonbrewing.com
Heartland Brewery Union Square,?,?,New York,NY,10003,www.heartlandbrewery.com
High Falls Brewing,445 St.Paul Street,?,Rochester,NY,14605,?
Ithaca Beer Company,600 Elmira Road,?,Ithaca,NY,14850,?
Lake Placid Pub & Brewery,813 Mirror Lake Drive,?,Lake Placid,NY,12946,www.ubuale.com
Mendocino Brewing - Saratoga Springs,?,?,Saratoga Springs,NY,?,www.mendobrew.com
Middle Ages Brewing,120 Wilkinson Street,?,Syracuse,NY,13204,www.middleagesbrewing.com
Mississippi Brewing Co.,?,?,Utica,NY,11042,?
Panther Brewing Company,Utica NY 13502,?,Utica,NY,13502,?
Ramapo Valley Brewery,143 Highway 59 Building 6,?,Hillburn,NY,10931,?
Sixpoint Craft Ales,40 Van Dyke St,?,Brooklyn,NY,11231,www.sixpointcraftales.com
Southampton Publick House,40 Bowden Square,?,Southampton,NY,11968,southamptonbrewery.com
Southern Tier Brewing Co,2051A Stoneman Circle,?,Lakewood,NY,14750,www.southerntierbrewing.com
The Blind Bat Brewery LLC,420 Harrison Drive,?,Centerport,NY,11721,www.blindbatbrewery.com
Two Dogs Beverage Company,272 Plandome Road,?,Manhasset,NY,11030,?
Wagner Valley Brewing,9322 State Route 414,?,Lodi,NY,14860,?
Warwick Valley Wine Co.,114 Little York Rd,?,Warwick,NY,10990,www.wvwinery.com
