Name,Address,City,State,Code,Website,Tags
Abbey Wright Brewing/Valley Inn,204 Valley Street,Williamsport,PA,17702,?,?
Allentown Brew Works,814 W Hamilton St,Allentown,PA,18101,?,?
Appalachian Brewing Company,50 N. Cameron St.,Harrisburg,PA,17110,?,?
Barley Creek Brewing,RR 1 Box 185,Tannersville,PA,18372,?,?
Bavarian Barbarian Brewing Company,429 W. 3rd St,Williamsport,PA,17701,?,?
Bethlehem Brew Works,569 Main St,Bethlehem,PA,18018,?,?
Bube's Brewery,102 North Market Street,Mount Joy,PA,17552,?,?
Bullfrog Brewery,231 W. Fourth Street,Williamsport,PA,17701,?,?
Copper Kettle Brewery,339 Fairground Rd,Millmont,PA,17845,?,?
Crabby Larry's Brewpub Steak & Crab House,237 West Butler Avenue,Chalfont,PA,18914,?,?
Dock Street Beer,701 S. 50th Street,West Philly,PA,19143,?,?
East End Brewing Company,6923 Susquehanna St.,Pittsburgh,PA,15208,?,?
Elk Creek Cafe and Aleworks,100 West Main Street PO Box 432,Millheim,PA,16854,?,?
Erie Brewing Company,1213 Veshecco Drive,Erie,PA,16501,?,?
Independence Brew Pub,1150 Filbert Street,Philadelphia,PA,19107,?,?
Iron City Brewing Co.,3340 Liberty Ave.,Pittsburgh,PA,15201,?,?
JoBoy's Brew Pub,87 Doe Run Rd,Manheim,PA,17545,?,?
Lancaster Brewing Co.,302 N. Plum St.,Lancaster,PA,17602,?,?
Latrobe Brewing,?,Latrobe,PA,,?,?
Legacy Brewing Co.,545 Canal Street,Reading,PA,19602,?,?
Lion Brewery Inc.,700 North Pennsylvania Blvd.,Wilkes Barre,PA,18705,?,?
Manayunk Brewery and Restaurant,4120 Main Street,Philadelphia,PA,19127,?,?
Marzoni's Brick Oven & Brewing Co,165 Patchway Road,Duncansville,PA,16635,?,?
McKenzie Brew House,451 Wilmington-West Chester Pike,Glen Mills,PA,19342,?,?
New Road Brewhouse,?,Collegeville,PA,,?,?
Nodding Head Brewpub,1516 Sansom Street,Philadelphia,PA,19102,?,?
North Country Brewery,141 South Main Street,Slippery Rock,PA,16057,?,?
Otto's Pub and Brewery,2105 N. Atherton St.,State College,PA,16803,?,?
Penn Brewery,800 Vinial St.,Pittsburgh,PA,15212,?,?
Pennsylvania Brewing,800 Vinial Street,Pittsburgh,PA,15212,?,?
Philadelphia Brewing Co,2423 Amber St,Philadelphia,PA,19125,?,?
Porterhouse Restaurant and Brewpub,5775 Lower Mountain Road,Lahaska,PA,18931,?,?
Red Star Brewery & Grille,101 Ehalt St.,Greensburg,PA,15601,?,?
Rivertowne Pour House,312 Center Rd,Monroeville,PA,15146,?,?
Roy Pitz Brewing Company,140 North Third Street,Chambersburg,PA,17201,?,?
Selin's Grove Brewing Co.,121 North Market St.,Selinsgrove,PA,17870,?,?
Sly Fox Brewhouse and Eatery - Phoenixville,519 Kimberton Road,Phoenixville,PA,19460,?,?
Sly Fox Brewhouse and Eatery - Royersford,312 North Lewis Road,Royersford,PA,19468,?,?
South County Brewing Co.,104 Mill St.,Fawn Grove,PA,17321,?,?
Spring House Brewing Company,2519 Main St.,Conestoga,PA,17516,?,?
Stoudt's Brewery,2800 North Reading Road,Adamstown,PA,19501,?,?
Straub Brewery,303 Sorg Street,St. Mary's,PA,15857,?,?
The Church Brew Works,3525 Liberty Avenue,Pittsburgh,PA,15201,?,?
Triumph Brewing of New Hope,400 Union Square,New Hope,PA,18938,?,?
Troegs Brewing,800 Paxton Street,Harrisburg,PA,17104,?,?
Union Barrel Works,6 N. Reamstown Road,Reamstown,PA,17567,?,?
Valley Forge Brewing,?,Wayne,PA,,?,?
Victory Brewing,420 Acorn Lane,Downingtown,PA,19335,?,?
Voodoo Brewing Co. |LLC,215 1/5 Arch St.,Meadville,PA,16335,?,?
Wainwright Brewing,3410 Sassafras Street,Pittsburgh,PA,,?,?
Weyerbacher Brewing Company,905 Line Street,Easton,PA,18042,?,?
Yards Brewing,2439 Amber Street,Philadelphia,PA,19125,?,?
Yuengling & Son Brewing,310 Mill Creek Avenue,Pottsville,PA,17901,?,?
