Name,Address,City,State,Code,Website,Tags
Baltimore-Washington Beer Works,P.O. Box 9829,Baltimore,MD,21284,?,?
Brewer's Art,1106 N. Charles St.,Baltimore,MD,21201,?,?
Brimstone Brewing,4607 Wedgewood Boulevard,Frederick,MD,20176,?,?
Clipper City Brewing Co.,4615-B Hollins Ferry Road,Baltimore,MD,21227,?,?
DeGroen's Grill,?,Baltimore,MD,,?,?
Deep Creek Brewing,?,McHenry,MD,,?,?
DuClaw,901 S. Bond St.,Baltimore,MD,21231,?,?
Eastern Shore Brewing,605 S. Talbot St.,St Michaels,MD,21663,?,?
Ellicott Mills Brewing,8308 Main Street,Ellicott City,MD,21043,?,?
Fordham Brewing,95 Cathedral Street | Suite 200,Annapolis,MD,21401,?,?
Frederick Brewing,4607 Wedgewood Boulevard,Frederick,MD,20176,?,?
Hook & Ladder Brewing Company,8113 Fenton St.,Silver Spring,MD,20910,?,?
Stillwater Artisanal Ales,?,Baltimore,MD,,?,?
Tuppers Hop Pocket Ale,6404 Redwing Road,Bethesda,MD,20817,?,?
Wharf Rat,206 W. Pratt St.,Baltimore,MD,21201,?,?
White Marsh Brewing Company,8149 Honeygo Blvd,White Marsh,MD,21236,?,?
Wild Goose Brewery |,4607 Wedgewood Blvd.,Fredrick,MD,21703,?,?
