Brewery,City,Name,Abv,Ibu,Srm,Tags
America's Brewing,Aurora,Aurora Amber Ale,?,?,?,north_american_ale|american_style_pale_ale
America's Brewing,Aurora,Golden Light,?,?,?,north_american_ale|american_style_pale_ale
America's Brewing,Aurora,Hemp Ale,?,?,?,?
America's Brewing,Aurora,Honey Wheat Ale,?,?,?,north_american_lager|american_style_lager
America's Brewing,Aurora,Payton Pilsner,?,?,?,?
America's Brewing,Aurora,Schwartzbier,?,?,?,german_lager|german_style_schwarzbier
America's Brewing,Aurora,Sweeney Stout,?,?,?,north_american_ale|american_style_stout
Bent River Brewing,Moline,Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Bibiana Brewing,Urbana,Hop-Stuffed Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Big Horn Brewing @ The RAM 2,Wheeling,Schaumbergfest,?,?,?,german_lager|german_style_oktoberfest
Black Toad Brewing Company,Chicago,Dark Ale,?,?,?,north_american_lager|american_style_lager
Blue Cat Brew Pub,Rock Island,Arkham Stout,?,?,?,north_american_ale|american_style_stout
Blue Cat Brew Pub,Rock Island,Big Bad Dog Old English Ale,?,?,?,british_ale|old_ale
Blue Cat Brew Pub,Rock Island,Off The Rail Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Blue Cat Brew Pub,Rock Island,Red Toad Amber Ale,?,?,?,north_american_ale|american_style_amber_red_ale
Blue Cat Brew Pub,Rock Island,River Back Jack IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Blue Cat Brew Pub,Rock Island,Wigged Pig Wheat,?,?,?,north_american_lager|american_style_lager
Carlyle Brewing,Rockford,Scottish Ale,5.8%,?,?,british_ale|scotch_ale
Columbia Bay Brewery Restaurant and Pub,Lake Villa,Da Bier Altbier,?,?,?,north_american_ale|american_style_brown_ale
Copper Dragon Brewing,Carbondale,Saison,?,?,?,?
Crooked Waters Brewing,Peoria,Steamboat Oatmeal Stout,?,?,?,north_american_ale|american_style_stout
Cugino Brewing Company,Batavia,Beer,?,?,?,north_american_lager|american_style_lager
Cugino Brewing Company,Batavia,Light,?,?,?,north_american_lager|american_style_lager
Emmett's Tavern and Brewery,West Dundee,Belgian Wit,?,?,?,?
Emmett's Tavern and Brewery,West Dundee,German Pilsner,?,?,?,?
Flatlander's Restaurant & Brewery,Lincolnshire,Bockbier,?,?,?,german_lager|traditional_german_style_bock
