Name,Address,City,State,Code,Website,Tags
America's Brewing,205 North Broadway,Aurora,IL,60505,?,?
Bent River Brewing,1413 Fifth Avenue,Moline,IL,61265,?,?
Bibiana Brewing,?,Urbana,IL,,?,?
Big Horn Brewing @ The RAM 2,700 North Milwaukee Avenue,Wheeling,IL,60090,?,?
Black Toad Brewing Company,Chicago IL 60612,Chicago,IL,,?,?
Blue Cat Brew Pub,113 18th Street,Rock Island,IL,61201,?,?
Carlyle Brewing,215 East State Street,Rockford,IL,61104,?,?
Columbia Bay Brewery Restaurant and Pub,?,Lake Villa,IL,,?,?
Copper Dragon Brewing,?,Carbondale,IL,62901,?,?
Crooked Waters Brewing,?,Peoria,IL,,?,?
Cugino Brewing Company,1501 East Wilson,Batavia,IL,60510,?,?
Emmett's Tavern and Brewery,128 West Main Street,West Dundee,IL,60118,?,?
Flatlander's Restaurant & Brewery,200 Village Green,Lincolnshire,IL,60069,?,?
Flossmoor Station Brewery,1035 Sterling Avenue,Flossmoor,IL,60422,?,?
Founders Hill Brewing,?,Downers Grove,IL,,?,?
Glen Ellyn Sports Brew,?,Glen Ellyn,IL,,?,?
Golden Prairie Brewing,2536 North Elston Avenue,Chicago,IL,60647,?,?
Goose Island Beer Company - Clybourn,1800 North Clybourn Avenue,Chicago,IL,60614,?,?
Goose Island Beer Company - Fulton Street,1800 West Fulton Street,Chicago,IL,60612,?,?
Govnor's Public House,220 North Randall Road,Lake In The Hills,IL,60156,?,?
Half Acre Beer Company,4257 North Lincoln Avenue,Chicago,IL,60618,?,?
Illinois Brewing,102 North Center Street #111,Bloomington,IL,61701,?,?
Metropolitan Brewing,5121 N Ravenswood Ave |,Chicago,IL,60640,?,?
Mickey Finn's Brewery,412 North Milwaukee Avenue,Libertyville,IL,60048,?,?
Millrose Brewing,45 South Barrington Road,South Barrington,IL,60010,?,?
O'Grady's Brewery and Pub #1,?,Arlington Heights,IL,,?,?
Onion Pub & Brewery,22221 Pepper Road,Lake Barrington,IL,60010,?,?
Piece,1927 West North Avenue,Chicago,IL,60622,?,?
Pizza Beer,5N404 Harvest Lane,St Charles,IL,60175,?,?
Prairie Rock Brewing - Elgin,127 South Grove Avenue,Elgin,IL,60120,?,?
Revolution Brewing,2323 N Milwaukee Ave,Chicago,IL,60647,?,?
River West Brewing,?,Chicago,IL,,?,?
Rock Bottom Restaurant & Brewery - Chicago,1 West Grand Avenue,Chicago,IL,60610,?,?
Taylor Brewing,717 East Butterfield Road,Lombard,IL,60148,?,?
Two Brothers Brewing,30 Butterfield Road,Warrenville,IL,60555,?,?
Weinkeller Brewery - Berwyn,?,Berwyn,IL,,?,?
Wild Onion Brewing,?,Lake Barrington,IL,,?,?
