Brewery,City,Name,Abv,Ibu,Srm,Tags
Aberdeen Brewing,Valparaiso,Scottish Ale,4.8%,?,?,?
Back Road Brewery,LaPorte,Back Road Ale,5%,?,?,north_american_ale|american_style_pale_ale
Back Road Brewery,LaPorte,Back Road American Pale Ale,5%,?,?,north_american_ale|american_style_pale_ale
Back Road Brewery,LaPorte,Belle Gunness Stout,5%,?,?,north_american_ale|american_style_stout
Back Road Brewery,LaPorte,English Mild,?,?,?,british_ale|english_style_pale_mild_ale
Back Road Brewery,LaPorte,Maple City Gold,7.2%,?,?,german_lager|german_style_oktoberfest
Back Road Brewery,LaPorte,Midwest IPA,7.2%,?,?,north_american_ale|american_style_india_pale_ale
Back Road Brewery,LaPorte,Millennium Lager,5%,?,?,german_lager|german_style_pilsener
Barley Island Brewing,Noblesville,60 Shilling Scotch Ale,5%,?,?,?
Barley Island Brewing,Noblesville,Blind Tiger Pale Ale,4.8%,?,?,north_american_ale|american_style_pale_ale
Barley Island Brewing,Noblesville,Flat Belly American Wheat,3.6%,?,?,north_american_lager|american_style_lager
Barley Island Brewing,Noblesville,Hazelnut Brown,?,?,?,?
Barley Island Brewing,Noblesville,Rust Belt Porter,4.1%,?,?,irish_ale|porter
Barley Island Brewing,Noblesville,Whose Ear? Red Ale,4%,?,?,north_american_ale|american_style_amber_red_ale
Broad Ripple Brewing,Indianapolis,Extra Special Bitter,?,?,?,?
Broad Ripple Brewing,Indianapolis,IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Broad Ripple Brewing,Indianapolis,Lawnmower Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Broad Ripple Brewing,Indianapolis,Porter,?,?,?,irish_ale|porter
Broad Ripple Brewing,Indianapolis,Red,?,?,?,north_american_ale|american_style_amber_red_ale
Broad Ripple Brewing,Indianapolis,Stout,?,?,?,north_american_ale|american_style_stout
Broad Ripple Brewing,Indianapolis,Wheat Beer,?,?,?,north_american_lager|american_style_lager
Circle V Brewing,Indianapolis,Bullseye Bitter ESB,?,?,?,?
Duneland Brewhouse Pub and Restaurant,Michigan City,Salmon Tail Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Lafayette Brewing,Lafayette,Bill Old Ale,?,?,?,british_ale|old_ale
Lafayette Brewing,Lafayette,Black Angus Oatmeal Stout,?,?,?,north_american_ale|american_style_stout
Mad Anthony Brewing,Fort Wayne,Auburn,?,?,?,north_american_ale|american_style_pale_ale
Mad Anthony Brewing,Fort Wayne,Big Daddy Brown,?,?,?,north_american_ale|american_style_brown_ale
Mad Anthony Brewing,Fort Wayne,Harry Baals Stout,?,?,?,north_american_ale|american_style_stout
Mad Anthony Brewing,Fort Wayne,Lager,?,?,?,north_american_lager|american_style_lager
Mad Anthony Brewing,Fort Wayne,Old Fort Porter,?,?,?,irish_ale|porter
Mad Anthony Brewing,Fort Wayne,Old Woody Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Mad Anthony Brewing,Fort Wayne,Red,?,?,?,north_american_ale|american_style_pale_ale
Mishawaka Brewing,Mishawaka,Four Horsemen Ale,?,?,?,north_american_ale|american_style_amber_red_ale
