Name,Address,City,State,Code,Website,Tags
Arcadia Brewing,103 West Michigan Avenue,Battle Creek,MI,49017,?,?
Atwater Block Brewing,237 Joseph Campau Street,Detroit,MI,48207,?,?
Bad Frog Brewery Company,?,Rose City,MI,,?,?
Bell's Brewery Inc.,8938 Krum Ave.,Galesburg,MI,49053,?,?
Big Buck Brewery,550 South Wisconsin Avenue,Gaylord,MI,49735,?,?
Big Buck Brewery and Steakhouse #2,?,Grand Rapids,MI,,?,?
Bonfire Brewery,?,Northville,MI,,?,?
Brewery Vivant,925 Cherry Street SE,Grand Rapids,MI,49506,?,?
Dark Horse Brewing Co.,511 S. Kalamazoo Ave.,Marshall,MI,49068,?,?
Dragonmead Microbrewery,14600 East Eleven Mile Road,Warren,MI,48089,?,?
Founders Brewing,235 Grandville Avenue SW,Grand Rapids,MI,49503,?,?
Grizzly Peak Brewing,120 West Washington Street,Ann Arbor,MI,48104,?,?
Hereford & Hops Restaurant and Brewpub #1,624 Ludington Street,Escanaba,MI,49829,?,?
Jasper Ridge Brewery,1075 Country Lane,Ishpeming,MI,49849,?,?
Jolly Pumpkin Artisan Ales,3115 Broad Street,Dexter,MI,48130,?,?
Kalamazoo Brewing,355 East Kalamazoo Avenue,Kalamazoo,MI,49007,?,?
Kuhnhenn Brewing,5919 Chicago Road,Warren,MI,48092,?,?
Marquette Harbor Brewery and Restaurant,119 South Front Street,Marquette,MI,49855,?,?
Michigan Brewing,1093 Highview Drive,Webberville,MI,48892,?,?
New Holland Brewing Company,66 East Eighth Street,Holland,MI,49423,?,?
Old Hat Brewery,114 North Main Street,Lawton,MI,49065,?,?
Olde Peninsula Brewpub and Restaurant,200 East Michigan Avenue,Kalamazoo,MI,49007,?,?
Roffey Brewery,?,Holland,MI,,?,?
Short's Brewing Company,121 N. Bridge Street,Bellaire,MI,49615,?,?
Stoney Creek Brewing Company,237 Joseph Campau,Detroit,MI,48207,?,?
Sullivan's Black Forest Brew Haus & Grill,281 Heinlein Strasse,Frankenmuth,MI,48734,?,?
The Livery,190 5th Street,Benton Harbor,MI,49022,?,?
The Round Barn Winery & Brewery,10983 Hills Road,Baroda,MI,49101,?,?
Traffic Jam and Snug,4268 Second Street,Detroit,MI,48201,?,?
Walldorff Brew Pub,105 East State Street,Hastings,MI,49508,?,?
