Brewery,City,Name,Abv,Ibu,Srm,Tags
August Schell Brewing,New Ulm,Caramel Bock,?,?,?,?
August Schell Brewing,New Ulm,Dark,?,?,?,?
August Schell Brewing,New Ulm,Grain Belt,4.6%,?,?,north_american_lager|american_style_lager
August Schell Brewing,New Ulm,Weizen,?,?,?,german_ale|south_german_style_hefeweizen
Backwater Brewing,Winona,Cat Tail Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Backwater Brewing,Winona,Wingdam Wheat,?,?,?,german_ale|south_german_style_hefeweizen
Bandana Brewery,Mankato,Anniversary Ale,9%,?,?,british_ale|old_ale
Bandana Brewery,Mankato,Eagle Lake Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Bandana Brewery,Mankato,Kasota IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Bandana Brewery,Mankato,Madelia Mild,?,?,?,british_ale|english_style_pale_mild_ale
Bandana Brewery,Mankato,Mankato Gold,?,?,?,?
Bandana Brewery,Mankato,Rapidan Brown,?,?,?,north_american_ale|american_style_brown_ale
Bandana Brewery,Mankato,Saint Peter Red,?,?,?,north_american_ale|american_style_amber_red_ale
Barley John's Brewpub,New Brighton,Dark Knight,12%,?,?,?
Barley John's Brewpub,New Brighton,Little Barley Bitter,?,?,?,?
Barley John's Brewpub,New Brighton,Old Eight Porter,?,?,?,north_american_ale|american_style_stout
Barley John's Brewpub,New Brighton,Stockyard IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Barley John's Brewpub,New Brighton,Sunny Summer Ale,?,?,?,?
Barley John's Brewpub,New Brighton,Wild Brunette,7.5%,?,?,?
Barley John's Brewpub,New Brighton,Wit,?,?,?,?
Brauhaus Brew Hall,Lucan,Brau Light,?,?,?,north_american_lager|american_style_lager
Brauhaus Brew Hall,Lucan,Scotch Ale,7%,?,?,british_ale|scotch_ale
Cold Spring Brewing,Cold Spring,Aspen Meadow Black and Tan,?,?,?,north_american_lager|american_style_lager
Cold Spring Brewing,Cold Spring,Hefe Weiss,?,?,?,north_american_lager|american_style_lager
Cold Spring Brewing,Cold Spring,Stite Golden Pilsner,4.7%,?,?,north_american_lager|american_style_lager
