Name,Address,City,State,Code,Website,Tags
August Schell Brewing,1860 Schell Road,New Ulm,MN,56073,?,?
Backwater Brewing,1429 West Service Drive,Winona,MN,55987,?,?
Bandana Brewery,?,Mankato,MN,,?,?
Barley John's Brewpub,781 Old Highway 8 SW,New Brighton,MN,55112,?,?
Brauhaus Brew Hall,111 Main Street,Lucan,MN,56255,?,?
Cold Spring Brewing,219 Red River Avenue North,Cold Spring,MN,56320,?,?
FINNEGANS,619 10th St. South | Suite 100,Minneapolis,MN,55404,?,?
Fitger's Brewhouse | Brewery and Grill,600 East Superior Street,Duluth,MN,55804,?,?
Flat Earth Brewing Company,2035 Benson Avenue,St. Paul,MN,55116,?,?
Glacial Lakes Brewing,?,New York Mills,MN,,?,?
Granite City Food & Brewery - Saint Cloud,3945 Second Street South,Saint Cloud,MN,56301,?,?
Great Waters Brewing Company,426 St.Peter Street,Saint Paul,MN,55102,?,?
Green Mill Brewing - Saint Paul,57 Hamline Avenue South,Saint Paul,MN,55105,?,?
Herkimer Pub & Brewery,2922 Lyndale Avenue South,Minneapolis,MN,55408,?,?
James Page Brewing,1500 Jackson Street,Minneapolis,MN,55413,?,?
Lake Superior Brewing,2711 West Superior Street,Duluth,MN,55806,?,?
Lift Bridge Brewery,?,Stillwater,MN,,?,?
Minneapolis Town Hall Brewery,1430 Washington Avenue South,Minneapolis,MN,55454,?,?
Minnesota Brewing,?,Saint Paul,MN,,?,?
O'Gara's Bar & Grill,146 Snelling Avenue North,Saint Paul,MN,55104,?,?
O'Hara's Brewpub and Restaurant,?,Saint Cloud,MN,,?,?
Rock Bottom Restaurant & Brewery - Minneapolis,800 LaSalle Plaza,Minneapolis,MN,55402,?,?
Sherlock's Home,?,Minnetonka,MN,,?,?
Summit Brewing,910 Montreal Circle,Saint Paul,MN,55102,?,?
Surly Brewing,4811 Dusharme Drive,Brooklyn Center,MN,55429,?,?
Tunner's Guild Brewing Systems,?,Saint Paul,MN,,?,?
Water Tower Brewing,?,Eden Prairie,MN,55344,?,?
