Name,Address,City,State,Code,Website,Tags
Barley's #2 Smokehouse and Brewpub,1130 Dublin Road,Columbus,OH,43215,?,?
Barley's Brewing #1,467 North High Street,Columbus,OH,43215,?,?
Barrel House Brewing Co.,544B W. Liberty St.,Cincinnati,OH,45214,?,?
Brew Kettle Taproom & Smokehouse BOP,8377 Pearl Road,Strongsville,OH,44136,?,?
Cleveland ChopHouse and Brewery,824 West St.Clair Avenue,Cleveland,OH,44113,?,?
Columbus Brewing Company,525 Short St.,Columbus,OH,43215,www.columbusbrewingco.com,?
Crooked River Brewing,?,Cleveland,OH,,?,?
Devil Mountain Brewing,?,Cincinnati,OH,,?,?
Diamondback Brewery,?,Cleveland,OH,,?,?
Frontwaters Restaurant and Brewing,?,Marblehead,OH,,?,?
Great Lakes Brewing,2516 Market Avenue,Cleveland,OH,44113,?,?
Hoppin Frog Brewery,1680-F East Waterloo Rd.,Akron,OH,44306,?,?
Hudepohl-Schoenling Brewing,10921 Reed Hartman Highway | Suite 329,Cincinnati,OH,45242,?,?
Listermann Brewing Company,1621 Dana Ave.,Cincinnati,OH,45212,?,?
Mad Crab Restaurant and Brewery,?,Strongsville,OH,,?,?
Maumee Bay Brewing,27 Broadway,Toledo,OH,43602,?,?
Ohio Brewing,?,Niles,OH,,?,?
Rocky River Brewing,21290 Center Ridge Road,Rocky River,OH,44116,?,?
Thirsty Dog Brewing,529 Grant St. Suite B,Akron,OH,44311,?,?
Watson Brothers Brewhouse,?,Blue Ash,OH,,?,?
Western Reserve Brewing,?,Cleveland,OH,,?,?
Willoughby Brewing,4057 Erie Street,Willoughby,OH,44094,?,?
