Brewery,City,Name,Tags
Angelic Brewing,Madison,Bacchanal Blonde,?
Angelic Brewing,Madison,London Porter,?
Angelic Brewing,Madison,Shakedown Nut Brown,?
Appleton Brewing,Appleton,Adler BrÃ¤u 1848 Lager,?
Appleton Brewing,Appleton,Adler BrÃ¤u Bucky Brau Barleywine,?
Appleton Brewing,Appleton,Adler BrÃ¤u Cherry Creek Cherry Flavored Lager,?
Appleton Brewing,Appleton,Adler BrÃ¤u Classic Porter,?
Appleton Brewing,Appleton,Adler BrÃ¤u Doppel Bock Beer,?
Appleton Brewing,Appleton,Adler BrÃ¤u Downtown Brown,?
Appleton Brewing,Appleton,Adler BrÃ¤u Eagle Lager,?
Appleton Brewing,Appleton,Adler BrÃ¤u Fox Classic River Ale,?
Appleton Brewing,Appleton,Adler BrÃ¤u Ginseng Lager,?
Appleton Brewing,Appleton,Adler BrÃ¤u Holiday Ale,?
Appleton Brewing,Appleton,Adler BrÃ¤u Marquette Pilsner,?
Appleton Brewing,Appleton,Adler BrÃ¤u Oatmeal Stout,?
Appleton Brewing,Appleton,Adler BrÃ¤u Pumpkin Spice,?
Appleton Brewing,Appleton,Adler BrÃ¤u Tailgate Amber,?
Appleton Brewing,Appleton,Adler BrÃ¤u Weiss,?
Appleton Brewing,Appleton,Adler BrÃ¤u Winter Ale,?
BT McClintic Beer Company,Beloit,McLennium,?
Bellows Brew Crew,Watertown,Dunkle,?
Bellows Brew Crew,Watertown,IPA,?
Bellows Brew Crew,Watertown,Pretty Girl Pilsner,?
Bellows Brew Crew,Watertown,Red,?
Bellows Brew Crew,Watertown,Steam Lager,?
Bellows Brew Crew,Watertown,Stout,?
Bellows Brew Crew,Watertown,Wheat,?
BluCreek Brewing Company,Madison,Altbier,?
Brewery Creek Brewing,Mineral Point,American Blonde,?
Brewery Creek Brewing,Mineral Point,Belgian Wheat,?
Brewery Creek Brewing,Mineral Point,Dark Mild,?
Brewery Creek Brewing,Mineral Point,Dunkel Doppel Weizen Bock,?
Brewery Creek Brewing,Mineral Point,Irish Stout,?
Brewery Creek Brewing,Mineral Point,Mahogany Ale,?
Brewmasters Restaurant and Brewery South,Kenosha,Cherry Ice,?
Brewmasters Restaurant and Brewery South,Kenosha,Icemaster,?
Brewmasters Restaurant and Brewery South,Kenosha,Kenosha Gold,?
Brewmasters Restaurant and Brewery South,Kenosha,Oatmeal Stout,?
Brewmasters Restaurant and Brewery South,Kenosha,Olde St.Nick,?
Brewmasters Restaurant and Brewery South,Kenosha,Southport Amber,?
Brewmasters Restaurant and Brewery South,Kenosha,Weissenheimer Wheat,?
Brown Street Brewery,Rhinelander,Amber,?
Brown Street Brewery,Rhinelander,Aussie Lager,?
Brown Street Brewery,Rhinelander,Czech Pilsner,?
Brown Street Brewery,Rhinelander,Munich Helle,?
Brown Street Brewery,Rhinelander,South of the Border Light,?
Brown Street Brewery,Rhinelander,Stout,?
Capital Brewery,Middleton,Autumnal Fire,?
Capital Brewery,Middleton,Bavarian Lager,?
Capital Brewery,Middleton,Blonde Doppelbock,?
Capital Brewery,Middleton,Capital Bavarian Lager,?
Capital Brewery,Middleton,Capital Brown Ale,?
Capital Brewery,Middleton,Capital Dark Doppelbock,?
Capital Brewery,Middleton,Capital Fest Beer,?
Capital Brewery,Middleton,Capital Island Wheat,?
Capital Brewery,Middleton,Capital Kloster Weizen,?
Capital Brewery,Middleton,Capital Maibock,?
Capital Brewery,Middleton,Capital Munich Dark,?
Capital Brewery,Middleton,Capital Oktoberfest,?
Capital Brewery,Middleton,Capital Prairie Gold,?
Capital Brewery,Middleton,Capital Rustic Ale,?
Capital Brewery,Middleton,Capital Special Pilsner,?
Capital Brewery,Middleton,Capital U.S. Pale Ale,?
Capital Brewery,Middleton,Capital Weizen Doppelbock,?
Capital Brewery,Middleton,Capital Wisconsin Amber,?
Capital Brewery,Middleton,Garten BrÃ¤u Fest,?
Capital Brewery,Middleton,Winter SkÃ¥l,?
Central Waters Brewing Company,Amherst,Brewhouse Coffee Stout,?
Central Waters Brewing Company,Amherst,Happy Heron Pale Ale,?
Central Waters Brewing Company,Amherst,Mud Puppy Porter,?
Central Waters Brewing Company,Amherst,Satin Solstice Imperial Stout,?
Cherryland Brewing,Sturgeon Bay,Apple Bach,?
Cherryland Brewing,Sturgeon Bay,Cherry Rail,?
Cherryland Brewing,Sturgeon Bay,Golden Rail,?
Cherryland Brewing,Sturgeon Bay,Raspberry Beer,?
City Brewing Company,La Crosse,Amber Ale,?
City Brewing Company,La Crosse,Lager Beer,?
City Brewing Company,La Crosse,Pale Ale,?
City Brewing Company,La Crosse,Winter Porter,?
Corner Pub,Reedsburg,IPA,?
Corner Pub,Reedsburg,Porter,?
Corner Pub,Reedsburg,Weizen,?
Courthouse Pub,Manitowoc,Canadian Light,?
Courthouse Pub,Manitowoc,Courthouse Copper,?
Courthouse Pub,Manitowoc,Munich Dunkel,?
Courthouse Pub,Manitowoc,Munich Helles,?
Delafield Brewhaus,Delafield,Amber,?
Delafield Brewhaus,Delafield,Dock Light Golden Ale,?
Delafield Brewhaus,Delafield,FrÃ¼hlingzeit Maibock,?
Delafield Brewhaus,Delafield,Hopfenstange Pils,?
Delafield Brewhaus,Delafield,Hopfenteufel Alt Bier,?
Delafield Brewhaus,Delafield,Hops and Glory American Ale,?
Delafield Brewhaus,Delafield,Noch Einmal Dunkel,?
Delafield Brewhaus,Delafield,Oats and Barley Stout,?
Delafield Brewhaus,Delafield,Oktoberfest,?
Delafield Brewhaus,Delafield,Old #27 Barleywine,?
Delafield Brewhaus,Delafield,Pewaukee Porter,?
Denmark Brewing,Denmark,Continental Pilsner,?
Denmark Brewing,Denmark,Valhalla Ale,?
Egan Brewing,De Pere,1916 Irish Stout,?
Egan Brewing,De Pere,Abbot Pennings Grand Cru,?
Egan Brewing,De Pere,Abbot Pennings Trippel,?
Egan Brewing,De Pere,Best Bull,?
Egan Brewing,De Pere,Blonde Ale,?
Egan Brewing,De Pere,Cheap KÃ¶ln,?
Egan Brewing,De Pere,Cinco de Mayo Cerveza JalapeÃ±o,?
Egan Brewing,De Pere,Cow Palace Scotch Ale 1998,?
Egan Brewing,De Pere,Cow Palace Scotch Ale 2000,?
Egan Brewing,De Pere,Cow Palace Scotch Ale 2001,?
Egan Brewing,De Pere,Czech Out This Pils!,?
Egan Brewing,De Pere,Eganator Doppelbock,?
Egan Brewing,De Pere,Enkel Biter,?
Egan Brewing,De Pere,Freys Weizen,?
Egan Brewing,De Pere,Hefeweizen,?
Egan Brewing,De Pere,Irish Ale,?
Egan Brewing,De Pere,Irish Stout,?
Egan Brewing,De Pere,J&S; Stout,?
Egan Brewing,De Pere,Moll Dubh Irish Ale,?
Egan Brewing,De Pere,Nitro Pale,?
Egan Brewing,De Pere,O-Tay Bockwheat,?
Egan Brewing,De Pere,Pride of De Pere,?
Egan Brewing,De Pere,Princess of Darkness Porter,?
Egan Brewing,De Pere,Queen of Clubs Schwarzbier,?
Egan Brewing,De Pere,Raspberry Ginger Mead,?
Egan Brewing,De Pere,Rye I Oughta...!,?
Egan Brewing,De Pere,Smokey the Beer,?
Egan Brewing,De Pere,Sod Off | Baldrick,?
Egan Brewing,De Pere,Steinworthy Oktoberfest,?
Egan Brewing,De Pere,StÃ¼venbrÃ¤u Maibock,?
Egan Brewing,De Pere,The Lonely Guy India Pale Ale,?
Egan Brewing,De Pere,Thyme of the Saison,?
Egan Brewing,De Pere,Toil and Trubbel Dubbel,?
Egan Brewing,De Pere,White Fathers Witbier,?
Egan Brewing,De Pere,Who The Helles Chuck?,?
Egan Brewing,De Pere,Wilsteraner Altbier,?
Egan Brewing,De Pere,old gak strong ale,?
EndeHouse Brewery and Restaurant,Reedsburg,Dunkelweiss,?
EndeHouse Brewery and Restaurant,Reedsburg,Porter,?
Esser's Cross Plains Brewery,Cross Plains,Esser's Best,?
Esser's Cross Plains Brewery,Cross Plains,Esser's Cross Plains Special,?
Fauerbach Brewing Company,Madison,Fauerbach Amber Lager,?
Fauerbach Brewing Company,Madison,Fauerbach Export,?
Fox River Brewing #1,Oshkosh,Caber Tossing Scottish Ale,?
Fox River Brewing #1,Oshkosh,Fox Light,?
Fox River Brewing #1,Oshkosh,Fox Tail Amber Ale,?
Fox River Brewing #1,Oshkosh,Golden Ale,?
Fox River Brewing #1,Oshkosh,IPA,?
Fox River Brewing #1,Oshkosh,Nut Brown Ale,?
Fox River Brewing #1,Oshkosh,Titan Porter,?
Fox River Brewing #1,Oshkosh,Trolleycar Stout,?
Fox River Brewing #1,Oshkosh,Winnebago Wheat,?
Fox River Brewing #1,Oshkosh,Ãœber-Sticke Altbier,?
Fratellos Restaurant and Brewery,Appleton,Caber Tossing Scottish Ale,?
Fratellos Restaurant and Brewery,Appleton,Fox Light,?
Fratellos Restaurant and Brewery,Appleton,Fox River Golden Ale,?
Fratellos Restaurant and Brewery,Appleton,Fox Tail Amber Ale,?
Fratellos Restaurant and Brewery,Appleton,Foxtoberfest,?
Fratellos Restaurant and Brewery,Appleton,Nut Brown Ale,?
Fratellos Restaurant and Brewery,Appleton,Oatmeal Stout,?
Fratellos Restaurant and Brewery,Appleton,Rye,?
Fratellos Restaurant and Brewery,Appleton,Sesquicentennial Light Ale,?
Fratellos Restaurant and Brewery,Appleton,Titan Porter,?
Fratellos Restaurant and Brewery,Appleton,Trolleycar Stout,?
Fratellos Restaurant and Brewery,Appleton,What the Helles Bock,?
Fratellos Restaurant and Brewery,Appleton,Winnebago Wheat,?
G. Heileman Brewing,La Crosse,Old Style,?
G. Heileman Brewing,La Crosse,Special Export,?
Gray Brewing,Janesville,Autumn Ale,?
Gray Brewing,Janesville,Black and Tan,?
Gray Brewing,Janesville,Bower City Pale Ale,?
Gray Brewing,Janesville,Classic American Pale Ale,?
Gray Brewing,Janesville,Classic Oatmeal Stout,?
Gray Brewing,Janesville,Cream Ale,?
Gray Brewing,Janesville,Honey Ale,?
Gray Brewing,Janesville,Irish Style Ale,?
Gray Brewing,Janesville,Pre-Prohibition Lager,?
Gray Brewing,Janesville,Witbier,?
Great Dane Pub and Brewing #1,Madison,Black Earth Porter,?
Great Dane Pub and Brewing #1,Madison,Black Wolf Ale,?
Great Dane Pub and Brewing #1,Madison,Bourbon Barleywine,?
Great Dane Pub and Brewing #1,Madison,Crop Circle Wheat,?
Great Dane Pub and Brewing #1,Madison,Drop Anchor Steam,?
Great Dane Pub and Brewing #1,Madison,Imperial Stout,?
Great Dane Pub and Brewing #1,Madison,Landmark Gold,?
Great Dane Pub and Brewing #1,Madison,Old Glory American Pale Ale,?
Great Dane Pub and Brewing #1,Madison,Old Kentucky Stout,?
Great Dane Pub and Brewing #1,Madison,Old Scratch Barleywine 1996,?
Great Dane Pub and Brewing #1,Madison,Old Scratch Barleywine 2000,?
Great Dane Pub and Brewing #1,Madison,Old Scratch Barleywine 2002,?
Great Dane Pub and Brewing #1,Madison,Pro-Tel Memorial Malt Liquor,?
Great Dane Pub and Brewing #1,Madison,Raspberry Ale,?
Great Dane Pub and Brewing #1,Madison,Stone of Scone Scotch Ale,?
Great Dane Pub and Brewing #1,Madison,Uber APA,?
Great Dane Pub and Brewing #1,Madison,Wooden Ships ESB,?
Great Dane Pub and Brewing #2,Fitchburg,Black Earth Porter,?
Great Dane Pub and Brewing #2,Fitchburg,Coffee Ale,?
Great Dane Pub and Brewing #2,Fitchburg,Crop Circle Wheat,?
Great Dane Pub and Brewing #2,Fitchburg,Foxy Brown,?
Great Dane Pub and Brewing #2,Fitchburg,Landmark Light,?
Great Dane Pub and Brewing #2,Fitchburg,New Peculier,?
Great Dane Pub and Brewing #2,Fitchburg,Old Glory American Pale Ale,?
Great Dane Pub and Brewing #2,Fitchburg,Old Scratch Barleywine 1997,?
Great Dane Pub and Brewing #2,Fitchburg,Stone of Scone Scotch Ale,?
Great Dane Pub and Brewing #2,Fitchburg,Sugar River ESB,?
Great Dane Pub and Brewing #2,Fitchburg,VerrÃ¼ckte Stadt Pilsner,?
Green Bay Brewing,Green Bay,Barley Wine 2001,?
Green Bay Brewing,Green Bay,Framboise,?
Green Bay Brewing,Green Bay,Helles Bock,?
Green Bay Brewing,Green Bay,Hinterland Amber Ale,?
Green Bay Brewing,Green Bay,Hinterland Honey Wheat,?
Green Bay Brewing,Green Bay,Hinterland Maple Bock,?
Green Bay Brewing,Green Bay,Hinterland Mild Cask Ale,?
Green Bay Brewing,Green Bay,Hinterland Packerland Pilsner,?
