Name,Address,City,State,Code,Website,Tags
Ale Asylum,3698 Kinsman Blvd,Madison,WI,53704,?,?
Angelic Brewing,?,Madison,WI,53703,?,?
Appleton Brewing,?,Appleton,WI,,?,?
BT McClintic Beer Company,?,Beloit,WI,,?,?
Bellows Brew Crew,?,Watertown,WI,,?,?
BluCreek Brewing Company,2605 South Stoughton Road,Madison,WI,53716,?,?
Brewery Creek Brewing,23 Commerce Street,Mineral Point,WI,53565,?,?
Brewmasters Restaurant and Brewery South,?,Kenosha,WI,,?,?
Brown Street Brewery,16 North Brown Street,Rhinelander,WI,54501,?,?
Capital Brewery,7734 Terrace Avenue,Middleton,WI,53562,?,?
Central Waters Brewing Company,351 Allen Street,Amherst,WI,54406,?,?
Cherryland Brewing,?,Sturgeon Bay,WI,,?,?
City Brewing Company |,925 South Third Street,La Crosse,WI,54601,?,?
Corner Pub,100 Main Street,Reedsburg,WI,53959,?,?
Courthouse Pub,1001 South Eighth Street,Manitowoc,WI,54220,?,?
Delafield Brewhaus,3832 Hillside Drive,Delafield,WI,53018,?,?
Denmark Brewing,?,Denmark,WI,,?,?
Egan Brewing,?,De Pere,WI,,?,?
EndeHouse Brewery and Restaurant,?,Reedsburg,WI,,?,?
Esser's Cross Plains Brewery,2109 Hickory Street,Cross Plains,WI,53528,?,?
Fauerbach Brewing Company,1714 Camus Lane,Madison,WI,53705,?,?
Fox River Brewing #1,1501 Arboretum Drive,Oshkosh,WI,54901,?,?
Fratellos Restaurant and Brewery,4301 West Wisconsin,Appleton,WI,54915,?,?
G. Heileman Brewing,?,La Crosse,WI,,?,?
Gray Brewing,2424 West Court Street,Janesville,WI,53545,?,?
Great Dane Pub and Brewing #1,123 East Doty Street,Madison,WI,53703,?,?
Great Dane Pub and Brewing #2,2980 Cahill Main,Fitchburg,WI,53711,?,?
Green Bay Brewing,313 Dousman Street,Green Bay,WI,54303,?,?
Grumpy Troll Restaurant and Brewery,105 South Second Street,Mount Horeb,WI,53572,?,?
Harbor City Brewing,535 West Grand Avenue,Port Washington,WI,53074,?,?
Hereford & Hops Steakhouse and Brewpub #3,2201 Sherman Street,Wausau,WI,54401,?,?
Hops Haven Brew Haus,1327 North 14th Street,Sheboygan,WI,53081,?,?
