Brewery,City,Name,Abv,Ibu,Srm,Tags
Amerisports Brew Pub,Kansas City,Hofbrauhaus Brewery & Biergarten Vienna Velvet,?,?,?,north_american_lager|american_style_lager
Anheuser-Busch,Saint Louis,Bare Knuckle Stout,?,?,?,north_american_ale|american_style_stout
Anheuser-Busch,Saint Louis,Beach Bum Blonde Ale,5.4%,?,?,north_american_ale|golden_or_blonde_ale
Anheuser-Busch,Saint Louis,Bud Dry,5%,?,?,north_american_lager|american_style_light_lager
Anheuser-Busch,Saint Louis,Bud Extra,6.6%,?,?,?
Anheuser-Busch,Saint Louis,Bud Ice,5.5%,?,?,north_american_lager|american_style_lager
Anheuser-Busch,Saint Louis,Bud Ice Light,4.1%,?,?,north_american_lager|american_style_lager
Anheuser-Busch,Saint Louis,Bud Light,4.2%,?,?,north_american_lager|american_style_light_lager
Anheuser-Busch,Saint Louis,Bud Light Golden Wheat,?,?,?,belgian_and_french_ale|belgian_style_white
Anheuser-Busch,Saint Louis,Bud Light Lime,4.2%,?,?,north_american_lager|american_style_light_lager
Anheuser-Busch,Saint Louis,Budweiser,5%,?,?,north_american_lager|american_style_light_lager
Anheuser-Busch,Saint Louis,Budweiser American Ale,5.1%,?,?,north_american_ale|american_style_amber_red_ale
Anheuser-Busch,Saint Louis,Budweiser Select,4.3%,?,?,north_american_lager|american_style_light_lager
Anheuser-Busch,Saint Louis,Green Valley Stone Mill Pale Ale,5.5%,?,?,north_american_ale|american_style_pale_ale
Anheuser-Busch,Saint Louis,Green Valley Wild Hop Lager,?,?,?,north_american_lager|american_style_lager
Anheuser-Busch,Saint Louis,Jack's Pumpkin Spice Ale,5.5%,?,?,other_style|pumpkin_beer
Anheuser-Busch,Saint Louis,Michelob Amber Bock,5.2%,?,?,north_american_lager|american_style_lager
Anheuser-Busch,Saint Louis,Michelob Beer,5%,?,?,north_american_lager|american_style_lager
Anheuser-Busch,Saint Louis,Michelob Black & Tan,5%,?,?,north_american_lager|american_style_lager
Anheuser-Busch,Saint Louis,Michelob Dunkel Weisse,5.5%,?,?,north_american_ale|dark_american_belgo_style_ale
Anheuser-Busch,Saint Louis,Michelob Golden Pilsner,?,?,?,german_lager|german_style_pilsener
Anheuser-Busch,Saint Louis,Michelob Hefeweizen,?,?,?,north_american_lager|american_style_lager
Anheuser-Busch,Saint Louis,Michelob Honey Lager,4.9%,?,?,north_american_lager|american_style_lager
Anheuser-Busch,Saint Louis,Michelob Hop Hound Amber Wheat,5.3%,?,?,other_style|light_american_wheat_ale_or_lager
Anheuser-Busch,Saint Louis,Michelob Irish Red,?,?,?,irish_ale|irish_style_red_ale
Anheuser-Busch,Saint Louis,Michelob Light,4.3%,?,?,north_american_lager|american_style_light_lager
Anheuser-Busch,Saint Louis,Michelob Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Anheuser-Busch,Saint Louis,Michelob Ultra,4.2%,?,?,north_american_lager|american_style_lager
Anheuser-Busch,Saint Louis,Michelob Ultra Amber,5%,?,?,north_american_lager|american_style_lager
Anheuser-Busch,Saint Louis,Michelob Winter's Bourbon Cask Ale,6%,?,?,other_style|winter_warmer
Anheuser-Busch,Saint Louis,Natural Ice,5.9%,?,?,north_american_lager|american_style_light_lager
Anheuser-Busch,Saint Louis,Natural Light,4.2%,?,?,north_american_lager|american_style_light_lager
Anheuser-Busch,Saint Louis,Pacific Ridge Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Anheuser-Busch,Saint Louis,Redbridge,?,?,?,north_american_lager|american_style_lager
Anheuser-Busch,Saint Louis,Shock Top,5.2%,?,?,belgian_and_french_ale|belgian_style_white
Anheuser-Busch,Saint Louis,Spring Heat Spiced Wheat,5.2%,?,?,?
Anheuser-Busch,Saint Louis,Sun Dog Amber Wheat,5.3%,?,?,other_style|light_american_wheat_ale_or_lager
Anheuser-Busch,Saint Louis,Wild Blue Blueberry Lager,8%,?,?,belgian_and_french_ale|belgian_style_fruit_lambic
Anheuser-Busch,Saint Louis,Ziegenbock Amber,?,?,?,german_lager|traditional_german_style_bock
Augusta Brewing,Augusta,Tannhauser,?,?,?,north_american_ale|american_style_pale_ale
Boulevard Brewing Company,Kansas City,Bob's '47 Oktoberfest,5.8%,?,?,german_lager|german_style_oktoberfest
Boulevard Brewing Company,Kansas City,Bouldevard ZÅŒN,4.4%,?,?,belgian_and_french_ale|belgian_style_white
Boulevard Brewing Company,Kansas City,Boulevard Dry Stout,4.9%,?,?,north_american_ale|american_style_stout
Boulevard Brewing Company,Kansas City,Boulevard Irish Ale,5.8%,?,?,irish_ale|irish_style_red_ale
Boulevard Brewing Company,Kansas City,Boulevard Maibock,5.95%,?,?,german_lager|german_style_heller_bock_maibock
Boulevard Brewing Company,Kansas City,Boulevard Pale Ale,5.4%,?,?,north_american_ale|american_style_pale_ale
Boulevard Brewing Company,Kansas City,Boulevard Unfiltered Wheat,4.5%,?,?,other_style|light_american_wheat_ale_or_lager
Boulevard Brewing Company,Kansas City,Bully! Porter,5.4%,?,?,irish_ale|porter
Boulevard Brewing Company,Kansas City,Double Wide I.P.A.,8.5%,?,?,north_american_ale|imperial_or_double_india_pale_ale
Boulevard Brewing Company,Kansas City,Lunar Ale,5.1%,?,?,north_american_ale|american_style_brown_ale
Boulevard Brewing Company,Kansas City,Nut Cracker Ale,5.9%,?,?,other_style|winter_warmer
Boulevard Brewing Company,Kansas City,Single-Wide I.P.A.,5.7%,?,?,north_american_ale|american_style_india_pale_ale
Boulevard Brewing Company,Kansas City,Ten Penny American Bitter,?,?,?,north_american_ale|american_style_pale_ale
Dirt Cheap Cigarettes and Beer,Fenton,Beer,?,?,?,north_american_lager|american_style_lager
Flat Branch Pub & Brewing,Columbia,Blackberry Ale,5.2%,?,?,north_american_ale|american_style_pale_ale
Flat Branch Pub & Brewing,Columbia,Oil Change Oatmeal Stout,?,?,?,british_ale|oatmeal_stout
McCoy's Public House and Brewkitchen,Kansas City,Deluxe Cream Stout,?,?,?,north_american_ale|american_style_stout
O'Fallon Brewery,O'Fallon,Griesendiech Pilsner,?,?,?,?
Route 66 Brewery,Saint Louis,Imperial Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Route 66 Brewery,Saint Louis,Lake Shore Light,?,?,?,north_american_lager|american_style_lager
Route 66 Brewery,Saint Louis,Mile Marker Amber Lager,?,?,?,north_american_lager|american_style_lager
Route 66 Brewery,Saint Louis,Rambling Raspberry Ale,?,?,?,other_style|light_american_wheat_ale_or_lager
Route 66 Brewery,Saint Louis,River City Red Ale,?,?,?,north_american_ale|american_style_amber_red_ale
Route 66 Brewery,Saint Louis,Streamline Oatmeal Stout,?,?,?,north_american_ale|american_style_stout
Route 66 Brewery,Saint Louis,Winter Wheat,?,?,?,?
Saint Louis Brewery / Schlafy Tap Room,Saint Louis,Baracktoberfest,?,?,?,german_lager|german_style_oktoberfest
Saint Louis Brewery / Schlafy Tap Room,Saint Louis,Coffee Stout,5.7%,30,47,north_american_ale|american_style_stout
Saint Louis Brewery / Schlafy Tap Room,Saint Louis,Dry-Hopped APA,5.9%,50,10.6,north_american_ale|american_style_pale_ale
Saint Louis Brewery / Schlafy Tap Room,Saint Louis,Schlafly Altbier,?,?,?,north_american_ale|american_style_brown_ale
Saint Louis Brewery / Schlafy Tap Room,Saint Louis,Schlafly Barleywine,11%,?,?,north_american_ale|american_style_barley_wine_ale
Saint Louis Brewery / Schlafy Tap Room,Saint Louis,Schlafly ESB,?,?,?,?
Saint Louis Brewery / Schlafy Tap Room,Saint Louis,Schlafly Hefeweizen,?,?,?,north_american_lager|american_style_lager
Saint Louis Brewery / Schlafy Tap Room,Saint Louis,Schlafly IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Saint Louis Brewery / Schlafy Tap Room,Saint Louis,Schlafly KÃ¶lsch,?,?,?,?
Saint Louis Brewery / Schlafy Tap Room,Saint Louis,Schlafly Oatmeal Stout,?,?,?,north_american_ale|american_style_stout
Saint Louis Brewery / Schlafy Tap Room,Saint Louis,Schlafly Oktoberfest,5.1%,?,?,german_lager|german_style_oktoberfest
Saint Louis Brewery / Schlafy Tap Room,Saint Louis,Schlafly Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Saint Louis Brewery / Schlafy Tap Room,Saint Louis,Schlafly Pilsner,?,?,?,?
Saint Louis Brewery / Schlafy Tap Room,Saint Louis,Schlafly Smoked Porter,?,?,?,north_american_lager|american_style_lager
Saint Louis Brewery / Schlafy Tap Room,Saint Louis,Schlafly Tripel,?,?,?,?
Saint Louis Brewery / Schlafy Tap Room,Saint Louis,Schlafly Wheat Ale,?,?,?,north_american_lager|american_style_lager
Saint Louis Brewery / Schlafy Tap Room,Saint Louis,Schlafly Winter ESB,?,?,?,?
Saint Louis Brewery / Schlafy Tap Room,Saint Louis,Schlafly Witbier,?,?,?,?
Springfield Brewing,Springfield,Mueller Doppelbock,?,?,?,german_lager|traditional_german_style_bock
The St. Louis Brewrey,St. Louis,Pale Ale,4.4%,25,13.5,north_american_ale|american_style_pale_ale
Trailhead Brewing Company,Saint Charles,Missouri Brown Dark Ale,?,?,?,north_american_ale|american_style_amber_red_ale
Trailhead Brewing Company,Saint Charles,Old Courthouse Stout,?,?,?,north_american_ale|american_style_stout
Trailhead Brewing Company,Saint Charles,Red Amber Ale,?,?,?,north_american_ale|american_style_amber_red_ale
Trailhead Brewing Company,Saint Charles,Red Winter Ale,?,?,?,north_american_ale|american_style_amber_red_ale
Trailhead Brewing Company,Saint Charles,Riverboat Raspberry flavored Beer,?,?,?,other_style|light_american_wheat_ale_or_lager
Trailhead Brewing Company,Saint Charles,Trailblazer Blond Ale,?,?,?,?
