Brewery,City,Name,Abv,Ibu,Srm,Tags
Asheville Pizza and Brewing Co.,Asheville,Roland's ESB,5%,?,?,british_ale|extra_special_bitter
Asheville Pizza and Brewing Co.,Asheville,Shiva IPA,5.3%,?,?,north_american_ale|american_style_india_pale_ale
Aviator Brewing Company,Fuquay Varina,HotRod Red,6.1%,?,?,irish_ale|irish_style_red_ale
Aviator Brewing Company,Fuquay Varina,Old BullDog Extra Special,5.8%,?,?,north_american_ale|american_style_strong_pale_ale
Big Boss Brewing Company,Raleigh,Angry Angel,4.5%,?,?,?
Big Boss Brewing Company,Raleigh,Bad Penny,5.5%,?,?,north_american_ale|american_style_brown_ale
Big Boss Brewing Company,Raleigh,Hell's Belle,7%,?,?,belgian_and_french_ale|other_belgian_style_ales
Carolina Beer Company,Mooresville,Cottonwood Endo India Pale Ale,5.9%,?,?,north_american_ale|american_style_india_pale_ale
Carolina Brewery,Chapel Hill,Amber,?,?,?,north_american_ale|american_style_amber_red_ale
Carolina Brewery,Chapel Hill,IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Carolina Brewery,Chapel Hill,Lager,?,?,?,north_american_lager|american_style_lager
Carolina Brewery,Chapel Hill,Stout,?,?,?,north_american_ale|american_style_stout
Duck-Rabbit Craft Brewery,Farmville,Duck-Rabbit Amber Ale,5.5%,?,?,north_american_ale|american_style_amber_red_ale
Duck-Rabbit Craft Brewery,Farmville,Duck-Rabbit Brown Ale,5.6%,?,?,north_american_ale|american_style_brown_ale
Duck-Rabbit Craft Brewery,Farmville,Duck-Rabbit Milk Stout,5.7%,?,?,british_ale|sweet_stout
Duck-Rabbit Craft Brewery,Farmville,Duck-Rabbit Porter,5.7%,?,?,irish_ale|porter
Duck-Rabbit Craft Brewery,Farmville,Duck-Rabbit Schwarzbier,5.8%,?,?,german_lager|german_style_schwarzbier
First Coast Brewing,Wilmington,Golden Lager,?,?,?,north_american_lager|american_style_lager
Foothills Brewing Company,Winston-Salem,Sexual Chocolate,10%,?,?,north_american_ale|american_style_imperial_stout
Greenshields Brewery and Pub,Raleigh,Amber,?,?,?,north_american_ale|american_style_amber_red_ale
Greenshields Brewery and Pub,Raleigh,Greenshields Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Greenshields Brewery and Pub,Raleigh,Munich Summer Fest,?,?,?,german_lager|german_style_oktoberfest
Greenshields Brewery and Pub,Raleigh,Nut Brown Ale,?,?,?,north_american_ale|american_style_brown_ale
Greenshields Brewery and Pub,Raleigh,Pilsner,?,?,?,?
Greenshields Brewery and Pub,Raleigh,Stout,?,?,?,north_american_ale|american_style_stout
Ham's Restaurant and Brewhouse,Greenville,Buccaneer Brown Ale,?,?,?,north_american_ale|american_style_brown_ale
Highland Brewing Company,Asheville,Black Mocha Stout,5.3%,?,?,north_american_ale|american_style_stout
Highland Brewing Company,Asheville,Black Mountain Bitter,?,?,?,british_ale|ordinary_bitter
Highland Brewing Company,Asheville,Cattail Peak,4.7%,?,?,other_style|light_american_wheat_ale_or_lager
Highland Brewing Company,Asheville,Cold Mountain Winter Ale,?,?,?,other_style|winter_warmer
Highland Brewing Company,Asheville,Gaelic Ale,5.8%,?,?,north_american_ale|american_style_amber_red_ale
Highland Brewing Company,Asheville,Kashmir IPA,5.6%,?,?,north_american_ale|american_style_india_pale_ale
Highland Brewing Company,Asheville,Oatmeal Porter,5.8%,?,?,irish_ale|porter
Highland Brewing Company,Asheville,St.Terese's Pale Ale,5.2%,?,?,north_american_ale|american_style_pale_ale
Mash House Restaurant and Brewery,Fayetteville,Hoppy Hour IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Pinehurst Village Brewery,Aberdeen,Double Eagle Brown Ale,?,?,?,north_american_ale|american_style_brown_ale
Pinehurst Village Brewery,Aberdeen,Double Eagle Golden Ale,?,?,?,north_american_ale|american_style_pale_ale
Pinehurst Village Brewery,Aberdeen,Double Eagle Scotch Ale,5.8%,?,?,?
Pinehurst Village Brewery,Aberdeen,Double Eagle \High-Test\" Scotch Ale",8%,?,?,british_ale|scotch_ale
Red Oak Brewery,Whitsett,Battlefield Bock,?,?,?,german_lager|traditional_german_style_bock
