Brewery,City,Name,Abv,Ibu,Srm,Tags
Beach Brewing,Orlando,Harvest Gold,?,?,?,?
Beach Brewing,Orlando,Hornet Tail IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Beach Brewing,Orlando,Magic Brew,?,?,?,north_american_ale|american_style_brown_ale
Beach Brewing,Orlando,Red Rock,?,?,?,north_american_ale|american_style_amber_red_ale
Charlie and Jake's Brewery and BBQ,Melbourne,Anniversary Ale,?,?,?,north_american_ale|american_style_pale_ale
Cigar City Brewing,Tampa,Big Sound Scotch Ale,8.5%,?,?,british_ale|scotch_ale
Cigar City Brewing,Tampa,Guava Grove Ale,8%,?,?,belgian_and_french_ale|french_&_belgian_style_saison
Cigar City Brewing,Tampa,Humidor Series Jai Alai Cedar Aged India Pale Ale,7.5%,?,?,north_american_ale|american_style_india_pale_ale
Cigar City Brewing,Tampa,Jai Alai IPA,7.5%,?,?,north_american_ale|american_style_india_pale_ale
Cigar City Brewing,Tampa,Maduro Oatmeal Brown Ale,5.5%,?,?,north_american_ale|american_style_brown_ale
Cigar City Brewing,Tampa,Marshal Zhukov's Imperial Stout,11%,?,?,north_american_ale|american_style_imperial_stout
Gordash Brewing Company,Fort Lauderdale,Holy Mackerel Mack In Black,8%,?,?,north_american_ale|american_style_strong_pale_ale
Gordash Brewing Company,Fort Lauderdale,Holy Mackerel Special Golden Ale,8.5%,?,?,belgian_and_french_ale|belgian_style_pale_strong_ale
Margaritaville Brewing Company,Jacksonville,Landshark Lager,4.7%,?,?,north_american_lager|american_style_light_lager
Margaritaville Brewing Company,Jacksonville,Lone Palm Ale,?,?,?,north_american_ale|american_style_brown_ale
McGuire's Irish Pub and Brewery - Pensacola,Pensacola,What the Gent on the Floor is Having 1997,?,?,?,?
Orlando Brewing,Orlando,Orange Blossom Pilsner,6.5%,?,?,other_style|fruit_beer
Orlando Brewing,Orlando,Orange Blossom Pilsner Â²,11%,?,?,other_style|fruit_beer
Orlando Brewing,Orlando,Orlando Blonde Ale,?,?,?,north_american_ale|american_style_pale_ale
Saint Somewhere Brewing Company,Tarpon Springs,Lectio Divina,?,?,?,belgian_and_french_ale|other_belgian_style_ales
Saint Somewhere Brewing Company,Tarpon Springs,Pays du Soleil,8%,?,?,belgian_and_french_ale|other_belgian_style_ales
Saint Somewhere Brewing Company,Tarpon Springs,Saison Athene,?,?,?,belgian_and_french_ale|french_&_belgian_style_saison
Stroh Brewery Company,Tampa,Hatuey Beer,?,?,?,north_american_lager|american_style_lager
Stroh Brewery Company,Tampa,Lone Star,?,?,?,north_american_lager|american_style_lager
Stroh Brewery Company,Tampa,Schlitz,?,?,?,north_american_lager|american_style_lager
Tampa Bay Brewing,Tampa,Old Elephant Foot IPA,?,?,?,north_american_ale|american_style_india_pale_ale
