Brewery,City,Name,Abv,Ibu,Srm,Tags
Atlanta Brewing Company,Atlanta,Red Brick Double Chocolate Oatmeal Porter,7.7%,?,?,irish_ale|porter
Moon River Brewing Company,Savannah,Dixie Crystal,10%,?,?,belgian_and_french_ale|belgian_style_tripel
Moon River Brewing Company,Savannah,Georgi-Belgique,6.4%,?,?,belgian_and_french_ale|other_belgian_style_ales
Moon River Brewing Company,Savannah,Road Trip Hard Cider,6.4%,?,?,other_style|fruit_beer
Moon River Brewing Company,Savannah,Savannah Fest,4.9%,?,?,german_lager|german_style_heller_bock_maibock
Moon River Brewing Company,Savannah,Swamp Fox IPA,7%,?,?,north_american_ale|american_style_india_pale_ale
Moon River Brewing Company,Savannah,Tarletons Bitters,?,?,?,british_ale|ordinary_bitter
Moon River Brewing Company,Savannah,The Captains Porter,6%,?,?,irish_ale|porter
Moon River Brewing Company,Savannah,Wild Wacky Wit,4.8%,?,?,belgian_and_french_ale|belgian_style_white
New River Brewing,Atlanta,Pale Ale,5.52%,?,?,north_american_ale|american_style_pale_ale
Sweetwater Brewing - Atlanta,Atlanta,420 Extra Pale Ale,5.4%,?,?,north_american_ale|american_style_pale_ale
Sweetwater Brewing - Atlanta,Atlanta,Blue,4.9%,?,?,other_style|fruit_beer
Sweetwater Brewing - Atlanta,Atlanta,Exodus Porter,?,?,?,irish_ale|porter
Sweetwater Brewing - Atlanta,Atlanta,Georgia Brown,5.1%,?,?,north_american_ale|american_style_brown_ale
Sweetwater Brewing - Atlanta,Atlanta,Hummer,5.1%,?,?,belgian_and_french_ale|belgian_style_white
Terrapin Beer Company,Athens,Big Hoppy Monster,8.75%,?,?,north_american_ale|american_style_amber_red_ale
Terrapin Beer Company,Athens,Capt'n Krunkles,?,?,?,?
Terrapin Beer Company,Athens,Hopsecutioner,7.2%,?,?,north_american_ale|american_style_india_pale_ale
Terrapin Beer Company,Athens,India Style Brown Ale,6%,?,?,north_american_ale|american_style_brown_ale
Terrapin Beer Company,Athens,Rye Squared,9.5%,?,?,north_american_ale|imperial_or_double_india_pale_ale
Terrapin Beer Company,Athens,SunRay Wheat Beer,4.7%,?,?,other_style|light_american_wheat_ale_or_lager
Terrapin Beer Company,Athens,Terrapin All-American Imperial Pilsner,7.5%,?,?,?
Terrapin Beer Company,Athens,Terrapin Coffee Oatmeal Imperial Stout,8.6%,?,?,north_american_ale|american_style_imperial_stout
Terrapin Beer Company,Athens,Terrapin Golden Ale,5%,?,?,other_style|american_style_cream_ale_or_lager
Terrapin Beer Company,Athens,Terrapin Midnight Project Depth Charge Espresso Milk Stout,8%,?,?,british_ale|sweet_stout
Terrapin Beer Company,Athens,Terrapin Monk's Revenge,9.8%,?,?,belgian_and_french_ale|other_belgian_style_ales
Terrapin Beer Company,Athens,Terrapin Rye Pale Ale,5.5%,?,?,north_american_ale|american_style_pale_ale
Terrapin Beer Company,Athens,The Iron Tankard,9.4%,?,?,north_american_ale|american_style_amber_red_ale
