Brewery,City,Name,Abv,Ibu,Srm,Tags
Alltech's Lexington Brewing Company,Lexington,Kentucky Ale,?,?,?,north_american_ale|american_style_pale_ale
Alltech's Lexington Brewing Company,Lexington,Limestone 1897 Original Amber Ale (discontinued),?,?,?,north_american_ale|american_style_amber_red_ale
Alltech's Lexington Brewing Company,Lexington,Limestone Bavarian Style Bock (discontinued),?,?,?,german_lager|traditional_german_style_bock
Alltech's Lexington Brewing Company,Lexington,Limestone Crisp-Hoppy Pale Ale (discontinued),?,?,?,north_american_ale|american_style_pale_ale
Alltech's Lexington Brewing Company,Lexington,Limestone English Style Porter (discontinued),?,?,?,irish_ale|porter
BBC Brewing Co. |,Louisville,American Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
BBC Brewing Co. |,Louisville,Bourbon Barrel Smoked Porter,?,?,?,irish_ale|porter
BBC Brewing Co. |,Louisville,Cask Hefe,?,?,?,german_ale|south_german_style_hefeweizen
BBC Brewing Co. |,Louisville,Dark Star,?,?,?,irish_ale|porter
BBC Brewing Co. |,Louisville,Hell for Certain,?,?,?,?
BBC Brewing Co. |,Louisville,Hoppy Hefe,?,?,?,german_ale|south_german_style_hefeweizen
Bluegrass Brewing Company | Inc.,Louisville,Altbier,?,?,?,north_american_ale|american_style_brown_ale
Kentucky Hemp Beer Company,Lexington,Beer,?,?,?,?
Oldenberg Brewery,Fort Mitchell,Nut Brown Ale,?,?,?,north_american_ale|american_style_brown_ale
Oldenberg Brewery,Fort Mitchell,Premium Verum,?,?,?,?
