Brewery,City,Name,Abv,Ibu,Srm,Tags
Abita Brewing Company,Abita Springs,Abbey Ale,?,?,?,british_ale|classic_english_style_pale_ale
Abita Brewing Company,Abita Springs,Abita Amber,?,?,?,german_lager|vienna_style_lager
Abita Brewing Company,Abita Springs,Abita Golden,?,?,?,north_american_lager|american_style_lager
Abita Brewing Company,Abita Springs,Abita Jockamo IPA,6.5%,?,?,north_american_ale|american_style_india_pale_ale
Abita Brewing Company,Abita Springs,Abita Light Beer,?,?,?,north_american_lager|american_style_light_lager
Abita Brewing Company,Abita Springs,Abita Purple Haze,4.75%,?,?,other_style|light_american_wheat_ale_or_lager
Abita Brewing Company,Abita Springs,Andygator,8%,?,?,german_lager|german_style_doppelbock
Abita Brewing Company,Abita Springs,Christmas Ale,5.5%,38,35,north_american_ale|american_style_brown_ale
Abita Brewing Company,Abita Springs,Fall Fest,?,?,?,german_lager|german_style_oktoberfest
Abita Brewing Company,Abita Springs,Honey Rye Ale,?,?,?,other_style|specialty_honey_lager_or_ale
Abita Brewing Company,Abita Springs,Purple Haze,?,?,?,other_style|light_american_wheat_ale_or_lager
Abita Brewing Company,Abita Springs,Restoration Pale Ale,5%,?,?,north_american_ale|american_style_pale_ale
Abita Brewing Company,Abita Springs,S.O.S,?,?,?,german_lager|german_style_pilsener
Abita Brewing Company,Abita Springs,Satsuma Harvest Wit,5.1%,?,?,belgian_and_french_ale|belgian_style_white
Abita Brewing Company,Abita Springs,Satsuma Wit,?,?,?,other_style|fruit_beer
Abita Brewing Company,Abita Springs,Strawberry,?,?,?,other_style|fruit_beer
Abita Brewing Company,Abita Springs,Strawberry Harvest Lager,?,?,?,other_style|fruit_beer
Abita Brewing Company,Abita Springs,Triple Citra Hopped Satsuma Wit,?,?,?,other_style|fruit_beer
Abita Brewing Company,Abita Springs,Turbodog,?,?,?,north_american_ale|dark_american_belgo_style_ale
Abita Brewing Company,Abita Springs,Wheat,?,?,?,german_lager|vienna_style_lager
Crescent City Brewhouse,New Orleans,Black Forest,?,?,?,?
Crescent City Brewhouse,New Orleans,Pilsner,?,?,?,?
Crescent City Brewhouse,New Orleans,Red Stallion,?,?,?,north_american_lager|american_style_lager
Crescent City Brewhouse,New Orleans,Steam,?,?,?,?
Crescent City Brewhouse,New Orleans,Weiss Beer,?,?,?,german_ale|south_german_style_hefeweizen
Dixie Brewing,New Orleans,Blackened Voodoo,5%,?,?,north_american_lager|american_style_lager
Zea Rotisserie and Brewery,New Orleans,Abby Road Belgian Ale,?,?,?,?
Zea Rotisserie and Brewery,New Orleans,Category 5 Strong Ale,?,?,?,north_american_ale|american_style_pale_ale
Zea Rotisserie and Brewery,New Orleans,Clearview Light,?,?,?,?
Zea Rotisserie and Brewery,New Orleans,Ginger-\slap\" Spiced Ale",?,?,?,?
Zea Rotisserie and Brewery,New Orleans,Lager,?,?,?,north_american_lager|american_style_lager
Zea Rotisserie and Brewery,New Orleans,Ponchartrain Porter,?,?,?,irish_ale|porter
Zea Rotisserie and Brewery,New Orleans,Z.P.A. India Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
