Name,Address1,Address2,City,State,Code,Website
Barley Brothers Brewery and Grill,1425 McCulloch Boulevard,?,Lake Havasu City,AZ,86403,?
Flagstaff Brewing,16 East Route 66,?,Flagstaff,AZ,86001,?
Four Peaks Brewing,1340 East Eighth Street #103,?,Tempe,AZ,85281,www.fourpeaks.com
Leinenkugel's Ballyard Brewery,?,?,Phoenix,AZ,?,?
Mogollon Brewing Company,4366 Huntington Dr,?,Flagstaff,AZ,86001,www.mogbrew.com
Mudshark Brewing,210 Swanson Avenue,?,Lake Havasu City,AZ,86403,www.mudsharkbrewingco.com
Oak Creek Brewery,2050 Yavapai Dr,?,Sedona,AZ,86336,oakcreekbrew.com
Pinnacle Peak Patio Steakhouse & Microbrewery,10426 East Jomax Road,?,Scottsdale,AZ,85255,?
Prescott Brewing Company,130 W Gurley St,?,Prescott,AZ,86301,prescottbrewingcompany.com
Rio Salado Brewing,?,?,Tempe,AZ,?,?
Sonoran Brewing Company,10426 East Jomax Road,?,Scottsdale,AZ,85255,www.sonoranbrewing.com
Thunder Canyon Brewery,7401 North La Cholla Boulevard,?,Tucson,AZ,85741,www.thundercanyonbrewery.com
