Brewery,City,Name,Abv,Ibu,Srm,Tags
Blue Corn Caf and Brewery - Albuquerque,Albuquerque,Plaza Porter,?,?,?,irish_ale|porter
Chama River Brewing,Albuquerque,Rye On,4.8%,?,?,north_american_lager|american_style_lager
Dry Gulch Brewing,Albuquerque,Where The Helles Albuquerque,?,?,?,?
Marble Brewery,Albuquerque,Marble India Pale Ale,6.2%,?,?,north_american_ale|american_style_india_pale_ale
Milagro Brewery and Grill,Bernalillo,Silver,5.1%,?,?,?
Santa Fe Brewing Company,Santa Fe,Chicken Killer Barley Wine,10%,?,?,north_american_ale|american_style_barley_wine_ale
Santa Fe Brewing Company,Santa Fe,Fiesta IPA,6.3%,?,?,north_american_ale|american_style_india_pale_ale
Santa Fe Brewing Company,Santa Fe,Freestyle Pilsner,5.5%,?,?,german_lager|german_style_pilsener
Santa Fe Brewing Company,Santa Fe,Santa Fe Nut Brown,5.2%,?,?,north_american_ale|american_style_brown_ale
Santa Fe Brewing Company,Santa Fe,Santa Fe Stout,5%,?,?,?
Santa Fe Brewing Company,Santa Fe,Santa Fe Wheat,5.25%,?,?,other_style|light_american_wheat_ale_or_lager
Santa Fe Brewing Company,Santa Fe,Sante Fe Pale Ale,5.5%,?,?,north_american_ale|american_style_pale_ale
Santa Fe Brewing Company,Santa Fe,State Pen Porter,6.4%,?,?,irish_ale|porter
Santa Fe Brewing Company,Santa Fe,Viszolay Belgian,7.5%,?,?,belgian_and_french_ale|belgian_style_dubbel
Second Street Brewery,Santa Fe,Altbier,?,?,?,north_american_ale|american_style_brown_ale
Second Street Brewery,Santa Fe,Second Street IPA,6%,?,?,north_american_ale|american_style_india_pale_ale
Socorro Springs Brewing,Socorro,Pick Axe IPA,6.5%,?,?,north_american_ale|american_style_india_pale_ale
