Brewery,City,Name,Abv,Ibu,Srm,Tags
(512) Brewing Company,Austin,(512) ALT,6%,?,?,german_ale|german_style_brown_ale_altbier
(512) Brewing Company,Austin,(512) Bruin,7.6%,?,?,north_american_ale|american_style_brown_ale
(512) Brewing Company,Austin,(512) IPA,7%,?,?,north_american_ale|american_style_india_pale_ale
(512) Brewing Company,Austin,(512) Pale,5.8%,?,?,north_american_ale|american_style_pale_ale
(512) Brewing Company,Austin,(512) Pecan Porter,6.8%,?,?,irish_ale|porter
(512) Brewing Company,Austin,(512) Whiskey Barrel Aged Double Pecan Porter,8.2%,?,?,irish_ale|porter
(512) Brewing Company,Austin,(512) Wit,5.2%,?,?,belgian_and_french_ale|belgian_style_white
(512) Brewing Company,Austin,One,8%,?,?,belgian_and_french_ale|belgian_style_pale_strong_ale
Celis Brewery,Austin,Dubbel Ale,?,?,?,?
Celis Brewery,Austin,Grand Cru,?,?,?,?
Celis Brewery,Austin,Pale Rider,?,?,?,north_american_ale|american_style_pale_ale
Celis Brewery,Austin,Raspberry,?,?,?,other_style|light_american_wheat_ale_or_lager
Celis Brewery,Austin,White,?,?,?,?
Hoffbrau Steaks Brewery #1,Addison,Black Rock Bock,?,?,?,german_lager|traditional_german_style_bock
Hoffbrau Steaks Brewery #1,Addison,Buffalo Ale,?,?,?,north_american_ale|american_style_pale_ale
Hoffbrau Steaks Brewery #1,Addison,Oktoberfest,?,?,?,german_lager|german_style_oktoberfest
Hoffbrau Steaks Brewery #1,Addison,Rodeo Red,?,?,?,north_american_ale|american_style_pale_ale
Hoffbrau Steaks Brewery #1,Addison,Shawnee Amber Ale,?,?,?,north_american_ale|american_style_pale_ale
Hoffbrau Steaks Brewery #1,Addison,Texas Special 101 Porter,?,?,?,irish_ale|porter
Hoffbrau Steaks Brewery #1,Addison,Windmill Wheat Ale,?,?,?,german_ale|south_german_style_hefeweizen
Hoffbrau Steaks Brewery #1,Addison,Yellow Rose Cream Ale,?,?,?,north_american_lager|american_style_lager
Hoffbrau Steaks Brewery #2,Dallas,Buffalo Ale,?,?,?,north_american_ale|american_style_amber_red_ale
Hoffbrau Steaks Brewery #2,Dallas,Dunkel Weizen,?,?,?,?
Hoffbrau Steaks Brewery #2,Dallas,Oktoberfest,?,?,?,german_lager|german_style_oktoberfest
Hoffbrau Steaks Brewery #2,Dallas,Red Lager,?,?,?,north_american_lager|american_style_lager
Hoffbrau Steaks Brewery #2,Dallas,Rodeo Red,?,?,?,north_american_ale|american_style_pale_ale
Hoffbrau Steaks Brewery #2,Dallas,Scottish Ale,?,?,?,?
Hoffbrau Steaks Brewery #2,Dallas,Shawnee Amber Ale,?,?,?,north_american_ale|american_style_amber_red_ale
Hoffbrau Steaks Brewery #2,Dallas,Windmill Wheat Ale,?,?,?,german_ale|south_german_style_hefeweizen
Hoffbrau Steaks Brewery #2,Dallas,Yellow Rose Cream Ale,?,?,?,north_american_lager|american_style_lager
Independence Brewing Co,Austin,Jasparilla,9%,?,?,british_ale|old_ale
Live Oak Brewing,Austin,Big Bark Amber Lager,?,?,?,north_american_lager|american_style_lager
Live Oak Brewing,Austin,Liberation Ale,6%,?,?,north_american_ale|american_style_india_pale_ale
Live Oak Brewing,Austin,Live Oak Hefeweizen,?,?,?,german_ale|south_german_style_hefeweizen
Live Oak Brewing,Austin,Live Oak Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Live Oak Brewing,Austin,Live Oak Pilz,?,?,?,german_lager|german_style_pilsener
Live Oak Brewing,Austin,Oaktoberfest,?,?,?,german_lager|german_style_oktoberfest
Main Street Brewing,Dallas,Brown Ale,?,?,?,north_american_ale|american_style_brown_ale
Old City Brewing,Austin,Pecan Street Lager,?,?,?,north_american_lager|american_style_lager
Pabst Brewing Company,San Antonio,Colt 45,6.5%,?,?,?
Pabst Brewing Company,San Antonio,Lone Star,4.65%,?,?,north_american_lager|american_style_lager
Pabst Brewing Company,San Antonio,Lone Star Light,3.85%,?,?,north_american_lager|american_style_light_lager
Pabst Brewing Company,San Antonio,Old Milwaukee,4.6%,?,?,north_american_lager|american_style_lager
Pabst Brewing Company,San Antonio,Pabst Blue Ribbon,4.74%,?,?,north_american_lager|american_style_light_lager
Pabst Brewing Company,San Antonio,Pabst Blue Ribbon Light,4.19%,?,?,north_american_lager|american_style_light_lager
Pabst Brewing Company,San Antonio,Piels Draft,4.6%,?,?,north_american_lager|american_style_light_lager
Pabst Brewing Company,San Antonio,Piels Light,3.79%,?,?,north_american_lager|american_style_light_lager
Pabst Brewing Company,San Antonio,Primo,?,?,?,north_american_lager|american_style_lager
Pabst Brewing Company,San Antonio,St Ides,8%,?,?,?
Pete's Brewing,San Antonio,Bohemian Pilsner,?,?,?,?
Pete's Brewing,San Antonio,Pete's Rally Cap Ale,?,?,?,other_style|light_american_wheat_ale_or_lager
Pete's Brewing,San Antonio,Pete's Wicked Strawberry Blonde,?,?,?,other_style|fruit_beer
Pete's Brewing,San Antonio,Pete's Wicked Wanderlust Cream Ale,5.6%,?,?,other_style|american_style_cream_ale_or_lager
Pete's Brewing,San Antonio,Wicked Ale,?,?,?,north_american_ale|american_style_brown_ale
Pete's Brewing,San Antonio,Wicked Springfest,?,?,?,german_lager|german_style_heller_bock_maibock
Pete's Brewing,San Antonio,Wicked Winter Brew,?,?,?,other_style|fruit_beer
Rahr & Sons Brewing Company,Fortworth,Blind Salamander Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Rahr & Sons Brewing Company,Fortworth,Blonde Lager,4.5%,?,?,north_american_lager|american_style_lager
Rahr & Sons Brewing Company,Fortworth,Bourbon Barrel Aged Winter Warmer,9.5%,?,?,other_style|winter_warmer
Rahr & Sons Brewing Company,Fortworth,Buffalo Butt,4.5%,?,?,north_american_ale|american_style_amber_red_ale
Rahr & Sons Brewing Company,Fortworth,Iron Thistle,8%,?,?,british_ale|scotch_ale
Rahr & Sons Brewing Company,Fortworth,Pecker Wrecker,?,?,?,?
Rahr & Sons Brewing Company,Fortworth,Rahr's Bucking Bock,8%,?,?,german_lager|german_style_heller_bock_maibock
Rahr & Sons Brewing Company,Fortworth,Rahr's Oktoberfest,5.5%,?,?,german_lager|german_style_oktoberfest
Rahr & Sons Brewing Company,Fortworth,Rahr's Red,4.5%,?,?,north_american_ale|american_style_amber_red_ale
Rahr & Sons Brewing Company,Fortworth,Rahr's Summertime Wheat,5.5%,?,?,german_ale|south_german_style_hefeweizen
Rahr & Sons Brewing Company,Fortworth,Rahr's Winter Warmer,9%,?,?,other_style|winter_warmer
Rahr & Sons Brewing Company,Fortworth,Stormcould IPA,6%,?,?,north_american_ale|american_style_india_pale_ale
Rahr & Sons Brewing Company,Fortworth,Ugly Pug,4.5%,?,?,german_lager|german_style_schwarzbier
Real Ale Brewing Company,Blanco,Firemans #4,5.1%,?,?,north_american_ale|golden_or_blonde_ale
Real Ale Brewing Company,Blanco,Full Moon Pale Rye Ale,5.7%,?,?,other_style|american_rye_ale_or_lager
Real Ale Brewing Company,Blanco,Phoenixx Double ESB,7.2%,?,?,british_ale|extra_special_bitter
Real Ale Brewing Company,Blanco,Rio Blanco Pale Ale,5.3%,?,?,north_american_ale|american_style_pale_ale
Real Ale Brewing Company,Blanco,Sisyphus Barleywine,11.1%,?,?,?
Routh Street Brewery and Grille,Dallas,Bavarian Wheat,?,?,?,german_ale|south_german_style_hefeweizen
Routh Street Brewery and Grille,Dallas,Big Black Stout,?,?,?,north_american_ale|american_style_stout
Routh Street Brewery and Grille,Dallas,Brown,?,?,?,north_american_ale|american_style_brown_ale
Routh Street Brewery and Grille,Dallas,Classic Pale,?,?,?,north_american_ale|american_style_pale_ale
Routh Street Brewery and Grille,Dallas,Dusseldorf-Style Altbier,?,?,?,north_american_ale|american_style_brown_ale
Routh Street Brewery and Grille,Dallas,Light Ale,?,?,?,?
Routh Street Brewery and Grille,Dallas,Oktoberfest,?,?,?,german_lager|german_style_oktoberfest
Routh Street Brewery and Grille,Dallas,Pilsner,?,?,?,north_american_lager|american_style_lager
Saint Arnold Brewing,Houston,Divine Reserve 9,11%,?,?,north_american_ale|american_style_imperial_stout
Saint Arnold Brewing,Houston,Elissa IPA,6.6%,?,?,north_american_ale|american_style_india_pale_ale
Saint Arnold Brewing,Houston,Fancy Lawnmower Beer,4.9%,?,?,?
Saint Arnold Brewing,Houston,Saint Arnold Amber Ale,5.5%,?,?,north_american_ale|american_style_amber_red_ale
Saint Arnold Brewing,Houston,Saint Arnold Brown Ale,5.3%,?,?,north_american_ale|american_style_brown_ale
Saint Arnold Brewing,Houston,Saint Arnold Spring Bock,6.4%,?,?,german_lager|traditional_german_style_bock
Saint Arnold Brewing,Houston,Saint Arnold Texas Weat,3.9%,?,?,?
Salado Creek Brewing Company,San Antonio,Amarossa,?,?,?,?
Salado Creek Brewing Company,San Antonio,Amber,?,?,?,north_american_lager|american_style_lager
Salado Creek Brewing Company,San Antonio,Honey Bock,?,?,?,german_lager|traditional_german_style_bock
Schooner Brewery,Dallas,Downtown Brown,?,?,?,north_american_ale|american_style_brown_ale
Schooner Brewery,Dallas,Dunkelweizen,?,?,?,?
Schooner Brewery,Dallas,Oktoberfest,?,?,?,german_lager|german_style_oktoberfest
Schooner Brewery,Dallas,Pegasus Pilsner,?,?,?,?
Schooner Brewery,Dallas,Rainbow Trout Stout,?,?,?,north_american_ale|american_style_stout
Schooner Brewery,Dallas,Ranger Red,?,?,?,north_american_ale|american_style_amber_red_ale
Schooner Brewery,Dallas,Vail Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Southern Star Brewing Company,Conroe,Buried Hatchet Stout,8.25%,?,?,north_american_ale|american_style_stout
Southern Star Brewing Company,Conroe,Pine Belt Pale Ale,6.3%,?,?,north_american_ale|american_style_pale_ale
Spoetzl Brewery,Shiner,Shiner Blonde,4.4%,?,?,north_american_lager|american_style_lager
Spoetzl Brewery,Shiner,Shiner Bock,4.4%,?,?,north_american_lager|american_style_lager
Spoetzl Brewery,Shiner,Shiner Bohemian Black Lager,4.9%,?,?,north_american_lager|american_style_lager
Spoetzl Brewery,Shiner,Shiner Hefeweizen,5.4%,?,?,german_ale|south_german_style_hefeweizen
