Name,Address,City,State,Code,Website,Tags
(512) Brewing Company,407 Radam | F200,Austin,TX,78745,?,?
Celis Brewery,?,Austin,TX,,?,?
Hoffbrau Steaks Brewery #1,?,Addison,TX,,?,?
Hoffbrau Steaks Brewery #2,?,Dallas,TX,,?,?
Independence Brewing Co,3913 Todd Lane #607,Austin,TX,78744,?,?
Live Oak Brewing,3301-B East Fifth Street,Austin,TX,78702,?,?
Main Street Brewing,?,Dallas,TX,,?,?
Old City Brewing,603 West 13th Street #1A-345,Austin,TX,78701,?,?
Pabst Brewing Company,PO Box 1661,San Antonio,TX,78296,?,?
Pete's Brewing,14800 San Pedro Avenue,San Antonio,TX,78232,?,?
Rahr & Sons Brewing Company,701 Galveston Ave,Fortworth,TX,76104,?,?
Real Ale Brewing Company,231 San Saba Court,Blanco,TX,78606,?,?
Routh Street Brewery and Grille,?,Dallas,TX,75201,?,?
Saint Arnold Brewing,2522 Fairway Park Drive,Houston,TX,77092,?,?
Salado Creek Brewing Company,?,San Antonio,TX,,?,?
Schooner Brewery,?,Dallas,TX,,?,?
Southern Star Brewing Company,1207 N. FM 3083 E.,Conroe,TX,77303,?,?
Spoetzl Brewery,603 East Brewery Street,Shiner,TX,77984,?,?
Steel Brewing,?,Longview,TX,,?,?
TwoRows Restaurant & Brewery - Dallas,5500 Greenville Avenue #1300,Dallas,TX,75206,?,?
Yegua Creek Brewing - Dallas,2920 North Henderson Ave,Dallas,TX,75206,?,?
