Brewery,City,Name,Abv,Ibu,Srm,Tags
Amicas Pizza | Microbrews and More,Salida,Loyal Duke Scotch Ale,8.6%,?,?,british_ale|scotch_ale
Aspen Brewing Company,Aspen,Conundrum Red Ale,7%,65,13,north_american_ale|american_style_amber_red_ale
Avery Brewing Company,Boulder,Ale To The Chief,8.75%,?,?,north_american_ale|imperial_or_double_india_pale_ale
Avery Brewing Company,Boulder,Czar Imperial Stout,11.9%,?,?,north_american_ale|american_style_stout
Avery Brewing Company,Boulder,DuganA IPA,8.5%,?,?,north_american_ale|imperial_or_double_india_pale_ale
Avery Brewing Company,Boulder,Fourteen,9.46%,?,?,?
Avery Brewing Company,Boulder,Hog Heaven Barleywine,9.2%,?,?,north_american_ale|american_style_barley_wine_ale
Avery Brewing Company,Boulder,Karma,5.2%,?,?,belgian_and_french_ale|belgian_style_pale_ale
Avery Brewing Company,Boulder,Maharaja | The,10.5%,?,?,north_american_ale|imperial_or_double_india_pale_ale
Avery Brewing Company,Boulder,Mephistopheles Stout,16.03%,?,?,north_american_ale|american_style_stout
Avery Brewing Company,Boulder,Old Jubilation Ale,8%,30,?,british_ale|strong_ale
Avery Brewing Company,Boulder,Reverend | The,10%,?,?,belgian_and_french_ale|belgian_style_quadrupel
Avery Brewing Company,Boulder,Salvation,9%,?,?,belgian_and_french_ale|other_belgian_style_ales
Avery Brewing Company,Boulder,Samael's Oak-aged Ale,14.5%,41,12.5,british_ale|strong_ale
Avery Brewing Company,Boulder,The Beast Grand Cru,14.9%,?,?,belgian_and_french_ale|belgian_style_dark_strong_ale
Backcountry Brewery,Frisco,Old Smoky,?,?,?,north_american_lager|american_style_lager
Backcountry Brewery,Frisco,Peak One Porter,?,?,?,irish_ale|porter
Blicks Brewing,Colorado Springs,Blind Side Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Boulder Beer Company,Boulder,Cold Hop,6.5%,?,?,british_ale|english_style_india_pale_ale
Boulder Beer Company,Boulder,Flashback Anniversary Ale,6.8%,?,?,north_american_ale|american_style_brown_ale
Boulder Beer Company,Boulder,GABF 25th Year Beer,?,?,?,british_ale|extra_special_bitter
Boulder Beer Company,Boulder,Hazed & Infused Dry-Hopped Ale,4.85%,?,?,north_american_ale|american_style_pale_ale
Boulder Beer Company,Boulder,Killer Penguin,10%,?,?,north_american_ale|american_style_barley_wine_ale
Boulder Beer Company,Boulder,MoJo India Pale Ale,6.8%,?,?,north_american_ale|american_style_india_pale_ale
Boulder Beer Company,Boulder,Mojo Risin' Double IPA,10%,?,?,north_american_ale|imperial_or_double_india_pale_ale
