Name,Address,City,State,Code,Website,Tags
Amicas Pizza | Microbrews and More,136 East Second Street,Salida,CO,81201,?,?
Aspen Brewing Company,555 North Mill Street,Aspen,CO,81611,?,?
Avery Brewing Company,5763 Arapahoe Avenue,Boulder,CO,80303,?,?
Backcountry Brewery,720 Main Street,Frisco,CO,80443,?,?
Blicks Brewing,?,Colorado Springs,CO,,?,?
Boulder Beer Company,2880 Wilderness Place,Boulder,CO,80301,?,?
Breckenridge Brewery,471 Kalamath Street,Denver,CO,80204,?,?
Bristol Brewing,1647 South Tejon Street,Colorado Springs,CO,80906,?,?
Bull & Bush Pub & Brewery,4700 Cherry Creek Drive South,Denver,CO,80246,?,?
Carver Brewing Co.,1022 Main Ave.,Durango,CO,81301,?,?
Cheshire Cat Brewery,7803 Ralston Road,Arvada,CO,80002,?,?
Coors Brewing - Golden Brewery,311 Tenth Street,Golden,CO,80401,?,?
Crabtree Brewery,625 3rd St. #D,Greeley,CO,80631,?,?
Crested Butte Brewery &  Pub,226 Elk Avenue,Crested Butte,CO,81224,?,?
Denver ChopHouse and Brewery,1735 19th Street #100,Denver,CO,80202,?,?
Dillon Dam Brewery,100 Little Dam Road,Dillon,CO,80435,?,?
Dixon's Downtown Grill,?,Denver,CO,80202,?,?
Dostal Alley,1 Dostal Alley,Central City,CO,80427,?,?
Estes Park Brewery,470 Prospect Village Dr.,Estes Park,CO,80517,?,?
Flying Dog Brewery,2401 Blake St.,Denver,CO,80205,?,?
Fort Collins Brewery,1900-B East Lincoln Avenue,Fort Collins,CO,80524,?,?
Glenwood Canyon Brewing Company,402 Seventh Street,Glenwood Springs,CO,81601,?,?
Golden City Brewery,920 Twelfth Street,Golden,CO,80401,?,?
Gore Range Brewery,105 Edwards Village Boulevard,Edwards,CO,81632,?,?
Grand Lake Brewing,915 Grand Avenue,Grand Lake,CO,80447,?,?
Great Divide Brewing,2201 Arapahoe Street,Denver,CO,80205,?,?
Great Northern Tavern and Brewery,?,Keystone,CO,,?,?
HC Berger Brewing,?,Fort Collins,CO,,?,?
Heavenly Daze Brewery and Grill,?,Denver,CO,,?,?
Hops Grillhouse & Brewery - Cherry Creek,149 Steele Street,Denver,CO,80206,?,?
Hubcap Brewery and Kitchen,?,Vail,CO,,?,?
Jarre Creek Ranch Brewing,?,Castle Rock,CO,,?,?
Left Hand Brewing Company,1265 Boston Avenue,Longmont,CO,80501,?,?
Mill Steakhouse,5798 South Rapp Street,Littleton,CO,80120,?,?
Mountain Sun Pub & Brewery,1535 Pearl Street,Boulder,CO,80302,?,?
Namaqua Brewing,?,Loveland,CO,,?,?
New Belgium Brewing,500 Linden Street,Fort Collins,CO,80524,?,?
Oasis Brewery Annex,?,Boulder,CO,,?,?
Oasis Brewery and Restaurant,?,Boulder,CO,,?,?
Odell Brewing,800 East Lincoln Avenue,Fort Collins,CO,80524,?,?
Oskar Blues Grill and Brew,303 Main Street,Lyons,CO,80540,?,?
Pint's Pub Brewery and Freehouse,211 West 13th Avenue,Denver,CO,80204,?,?
Pug Ryan's Steakhouse and Brewery,104 Village Place,Dillon,CO,80435,?,?
Pumphouse Brewery & Restaurant,540 Main Street,Longmont,CO,80501,?,?
RedFish New Orleans Brewhouse,2027 13th Street,Boulder,CO,80302,?,?
Rock Bottom Restaurant & Brewery - Denver,1001 16th Street #A-100,Denver,CO,80202,?,?
Rock Bottom Restaurant & Brewery - South Denver,9627 East County Line Road,Englewood,CO,80112,?,?
Rockyard Brewing,880 West Castleton Road,Castle Rock,CO,80109,?,?
SandLot Brewery at Coors Field,2145 Blake Street,Denver,CO,80205,?,?
Ska Brewing Company,545 Turner Drive,Durango,CO,81301,?,?
Steamworks Brewing - Durango,801 East Second Avenue,Durango,CO,81301,?,?
Tabernash Brewing,?,Longmont,CO,,?,?
Tivoli Brewing,?,Denver,CO,,?,?
Tommyknocker Brewery and Pub,1401 Miner Street,Idaho Springs,CO,80452,?,?
Trinity Brewing Company,1446 Garden of the Gods,Colorado Springs,CO,80907,?,?
Twisted Pine Brewing Company,3201 Walnut Street Ste A,Boulder,CO,80301,?,?
Union Colony Brewery,?,Greeley,CO,,?,?
Walnut Brewery,1123 Walnut Street,Boulder,CO,80302,?,?
Wolf Tongue Brewery,35 E. First St.,Nederland,CO,,?,?
Wynkoop Brewing,1634 18th Street,Denver,CO,80202,?,?
