Brewery,City,Name,Abv,Ibu,Srm,Tags
Bayern Brewing,Missoula,Dancing Trout Ale,?,?,?,?
Bayern Brewing,Missoula,Hefeweizen,?,?,?,north_american_lager|american_style_lager
Big Hole Brewing,Belgrade,Mythical White Grand Cru,?,?,?,?
Big Sky Brewing,Missoula,Crystal Ale,?,?,?,?
Big Sky Brewing,Missoula,IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Big Sky Brewing,Missoula,Moose Drool Brown Ale,5.3%,?,?,irish_ale|porter
Big Sky Brewing,Missoula,Powder Hound Winter Ale,?,?,?,british_ale|old_ale
Big Sky Brewing,Missoula,Scape Goat Pale Ale,4.7%,?,?,north_american_ale|american_style_pale_ale
Big Sky Brewing,Missoula,Summer Honey Seasonal Ale,?,?,?,north_american_lager|american_style_lager
Big Sky Brewing,Missoula,Trout Slayer,4.7%,?,?,other_style|light_american_wheat_ale_or_lager
Kessler Brewing,Helena,Doppelbock,6.8%,?,?,german_lager|traditional_german_style_bock
Kessler Brewing,Helena,Wild West Beer,?,?,?,north_american_ale|american_style_pale_ale
Lewis & Clark Brewing Company,Helena,Tumbleweed IPA,5.7%,?,?,north_american_ale|american_style_india_pale_ale
Lightning Boy Brewery,Belgrade,Thunder Pup Pale,?,?,?,north_american_ale|american_style_pale_ale
Montana Brewing,Billings,Billings IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Montana Brewing,Billings,Espresso Porter,?,?,?,?
Montana Brewing,Billings,Fat Belly Amber,?,?,?,north_american_ale|american_style_amber_red_ale
Montana Brewing,Billings,Harvest Ale,?,?,?,north_american_ale|american_style_pale_ale
Montana Brewing,Billings,Sandbagger Gold,?,?,?,?
Montana Brewing,Billings,Sharptail Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Montana Brewing,Billings,Stillwater Rye,?,?,?,?
Montana Brewing,Billings,Whitetail Wheat,?,?,?,north_american_lager|american_style_lager
Red Lodge Ales,Red Lodge,Bent Nail IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Red Lodge Ales,Red Lodge,Glacier Ale,?,?,?,north_american_ale|american_style_amber_red_ale
Spanish Peaks Brewing,Polson,American Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Spanish Peaks Brewing,Polson,Black Dog Yellowstone Ale,?,?,?,north_american_ale|american_style_pale_ale
Spanish Peaks Brewing,Polson,Peaches and Cream,?,?,?,other_style|light_american_wheat_ale_or_lager
Spanish Peaks Brewing,Polson,Winter Cheer,?,?,?,north_american_ale|american_style_brown_ale
Wolf Pack Brewing,West Yellowstone,Lone Mountain Altbier,?,?,?,north_american_ale|american_style_brown_ale
Yellowstone Valley Brewing,Billings,Grizzly Wulff Wheat,5.3%,?,?,?
