Brewery,City,Name,Abv,Ibu,Srm,Tags
Bottom's Up Brewing,Pinedale,Strom Bomb Stout,7.3%,?,?,north_american_ale|american_style_stout
C.B. & Potts of Cheyenne,Cheyenne,Big Horn Big Red Ale,?,?,?,north_american_ale|american_style_pale_ale
C.B. & Potts of Cheyenne,Cheyenne,Big Horn Bluesberry,?,?,?,other_style|light_american_wheat_ale_or_lager
C.B. & Potts of Cheyenne,Cheyenne,Big Horn Buttface Amber,?,?,?,north_american_ale|american_style_amber_red_ale
C.B. & Potts of Cheyenne,Cheyenne,Big Horn Fort Collins Stout,?,?,?,north_american_ale|american_style_stout
C.B. & Potts of Cheyenne,Cheyenne,Big Horn Hefeweizen,?,?,?,german_ale|south_german_style_hefeweizen
C.B. & Potts of Cheyenne,Cheyenne,Big Horn Light,?,?,?,north_american_lager|american_style_lager
C.B. & Potts of Cheyenne,Cheyenne,Big Horn Total Disorder Porter,?,?,?,irish_ale|porter
C.B. & Potts of Cheyenne,Cheyenne,Big Horn Wyoming Blonde,?,?,?,?
Grand Teton Brewing #1,Wilson,Moose Juice Stout,?,?,?,north_american_ale|american_style_stout
Sanford's Grub and Pub,Sheridan,Oil Can Stout,?,?,?,north_american_ale|american_style_stout
Sanford's Grub and Pub,Sheridan,Red Line Amber,?,?,?,north_american_ale|american_style_amber_red_ale
Sweetwater Brewing - Casper,Casper,Surefire Stout,?,?,?,north_american_ale|american_style_stout
Sweetwater Brewing - Casper,Casper,Wild Wyo Wheat,?,?,?,north_american_lager|american_style_lager
