Brewery,City,Name,Abv,Ibu,Srm,Tags
Alaskan Brewing,Juneau,Alaskan Amber,5.3%,?,?,british_ale|old_ale
Alaskan Brewing,Juneau,Alaskan Barley Wine Ale,10.4%,?,?,north_american_ale|american_style_barley_wine_ale
Alaskan Brewing,Juneau,Alaskan ESB,5%,?,?,british_ale|extra_special_bitter
Alaskan Brewing,Juneau,Alaskan IPA,6.2%,?,?,north_american_ale|american_style_india_pale_ale
Alaskan Brewing,Juneau,Alaskan Pale,5.2%,?,?,north_american_ale|golden_or_blonde_ale
Alaskan Brewing,Juneau,Alaskan Smoked Porter,6.5%,?,?,irish_ale|porter
Alaskan Brewing,Juneau,Alaskan Stout,5.7%,?,?,british_ale|oatmeal_stout
Alaskan Brewing,Juneau,Alaskan Summer Ale,5.3%,?,?,?
Alaskan Brewing,Juneau,Alaskan White Ale,5.3%,?,?,belgian_and_french_ale|belgian_style_white
Alaskan Brewing,Juneau,Breakup Bock,7%,?,?,german_lager|traditional_german_style_bock
Alaskan Brewing,Juneau,Winter Ale,6.4%,?,?,other_style|winter_warmer
Glacier Brewhouse,Anchorage,Black Rye Bock,6.2%,?,?,german_lager|traditional_german_style_bock
Great Bear Brewing,Wasilla,Pioneer Peak Porter,4.3%,?,?,irish_ale|porter
Midnight Sun Brewing Co.,Anchorage,3767 Belgian-style IPA with Brett,8%,?,?,belgian_and_french_ale|other_belgian_style_ales
Midnight Sun Brewing Co.,Anchorage,Anchor Witbier with Brettanomyces,6.25%,?,?,belgian_and_french_ale|belgian_style_white
Midnight Sun Brewing Co.,Anchorage,Arctic Devil Barley Wine,13.2%,?,?,?
Midnight Sun Brewing Co.,Anchorage,Arctic Rhino Coffee Porter,5%,?,?,irish_ale|porter
Midnight Sun Brewing Co.,Anchorage,Bathtub Gin Gruit Ale,8%,?,?,other_style|herb_and_spice_beer
Midnight Sun Brewing Co.,Anchorage,Berserker Imperial Stout,12.7%,?,?,north_american_ale|american_style_imperial_stout
Midnight Sun Brewing Co.,Anchorage,Big Slick American Barleywine Ale,11.9%,?,?,north_american_ale|american_style_barley_wine_ale
Midnight Sun Brewing Co.,Anchorage,Brewtality Espresso Black Bier,9.7%,?,?,?
Midnight Sun Brewing Co.,Anchorage,Cafe Amsterdam's 10th Anniversary Gruit,12%,?,?,other_style|fruit_beer
Midnight Sun Brewing Co.,Anchorage,CoHoHo Imperial IPA,8%,?,?,north_american_ale|imperial_or_double_india_pale_ale
Midnight Sun Brewing Co.,Anchorage,Conspiracy,8.5%,?,?,north_american_ale|dark_american_belgo_style_ale
Midnight Sun Brewing Co.,Anchorage,Cosmic Black Witbier,6.2%,?,?,belgian_and_french_ale|belgian_style_white
Midnight Sun Brewing Co.,Anchorage,Descent Imperial Abbey Ale,8.3%,?,?,belgian_and_french_ale|other_belgian_style_ales
Midnight Sun Brewing Co.,Anchorage,Earth - Belgian Style Chocolate Milk Stout,5%,?,?,british_ale|sweet_stout
Midnight Sun Brewing Co.,Anchorage,Envy,7%,?,?,?
Midnight Sun Brewing Co.,Anchorage,Fahrwasser Fairway Pilsner,5.2%,?,?,german_lager|german_style_pilsener
Midnight Sun Brewing Co.,Anchorage,Fallen Angel,8%,?,?,belgian_and_french_ale|belgian_style_pale_strong_ale
Midnight Sun Brewing Co.,Anchorage,Free Loader Double Red IPA,?,?,?,north_american_ale|imperial_or_double_india_pale_ale
Midnight Sun Brewing Co.,Anchorage,Full Curl Scotch Ale,6%,?,?,british_ale|scotch_ale
Midnight Sun Brewing Co.,Anchorage,Fur Rondy,6%,?,?,other_style|winter_warmer
Midnight Sun Brewing Co.,Anchorage,Gluttony,10.5%,?,?,north_american_ale|imperial_or_double_india_pale_ale
Midnight Sun Brewing Co.,Anchorage,Greed,5%,?,?,belgian_and_french_ale|belgian_style_pale_ale
Midnight Sun Brewing Co.,Anchorage,Imperial Chocolate Pumpkin Porter,7.8%,?,?,other_style|pumpkin_beer
Midnight Sun Brewing Co.,Anchorage,Jupiter - Belgian-style \Champagne\" Trippel",?,?,?,belgian_and_french_ale|belgian_style_tripel
Midnight Sun Brewing Co.,Anchorage,Kodiak Brown Nut Brown Ale,5%,?,?,north_american_ale|american_style_brown_ale
Midnight Sun Brewing Co.,Anchorage,La Maitresse du Moine,9%,?,?,north_american_ale|dark_american_belgo_style_ale
Midnight Sun Brewing Co.,Anchorage,Lust,11.5%,?,?,belgian_and_french_ale|belgian_style_dark_strong_ale
Midnight Sun Brewing Co.,Anchorage,Mammoth Extra Stout,6%,?,?,north_american_ale|american_style_stout
Midnight Sun Brewing Co.,Anchorage,Mars - Belgian Imperial Red IPA,8.7%,?,?,north_american_ale|imperial_or_double_india_pale_ale
Midnight Sun Brewing Co.,Anchorage,Mayhem Belgian-style Double IPA,8.2%,?,?,belgian_and_french_ale|other_belgian_style_ales
Midnight Sun Brewing Co.,Anchorage,Meltdown Double IPA,8%,?,?,north_american_ale|imperial_or_double_india_pale_ale
Midnight Sun Brewing Co.,Anchorage,Mercury - Belgian Style Small Beer,6.5%,?,?,belgian_and_french_ale|other_belgian_style_ales
Midnight Sun Brewing Co.,Anchorage,Midnight Sun Kolsch,5%,?,?,?
Midnight Sun Brewing Co.,Anchorage,Oak-Aged Imperial Chocolate Pumpkin Porter,7.8%,?,?,irish_ale|porter
Midnight Sun Brewing Co.,Anchorage,Obliteration I,8.5%,?,?,north_american_ale|imperial_or_double_india_pale_ale
