Brewery,City,Name,Abv,Ibu,Srm,Tags
21st Amendment Brewery Cafe,San Francisco,21A IPA,7.2%,?,?,north_american_ale|american_style_india_pale_ale
21st Amendment Brewery Cafe,San Francisco,563 Stout,5%,?,?,north_american_ale|american_style_stout
21st Amendment Brewery Cafe,San Francisco,Amendment Pale Ale,5.2%,?,?,north_american_ale|american_style_pale_ale
21st Amendment Brewery Cafe,San Francisco,Bitter American,3.6%,?,?,british_ale|special_bitter_or_best_bitter
21st Amendment Brewery Cafe,San Francisco,Double Trouble IPA,9.8%,?,?,north_american_ale|imperial_or_double_india_pale_ale
21st Amendment Brewery Cafe,San Francisco,General Pippo's Porter,5.5%,?,?,irish_ale|porter
21st Amendment Brewery Cafe,San Francisco,North Star Red,5.8%,?,?,north_american_ale|american_style_amber_red_ale
21st Amendment Brewery Cafe,San Francisco,Oyster Point Oyster Stout,5.9%,?,?,north_american_ale|american_style_stout
21st Amendment Brewery Cafe,San Francisco,Potrero ESB,5.2%,?,?,british_ale|special_bitter_or_best_bitter
21st Amendment Brewery Cafe,San Francisco,South Park Blonde,5%,?,?,north_american_ale|golden_or_blonde_ale
21st Amendment Brewery Cafe,San Francisco,Watermelon Wheat,5.5%,?,?,belgian_and_french_ale|belgian_style_fruit_lambic
AleSmith Brewing,San Diego,Anvil Ale,5.5%,?,?,?
AleSmith Brewing,San Diego,Grand Cru 2003,10%,?,?,?
AleSmith Brewing,San Diego,Grand Cru 2006,10%,?,?,?
AleSmith Brewing,San Diego,Horny Devil,10%,?,?,?
AleSmith Brewing,San Diego,IPA,7.25%,?,?,north_american_ale|american_style_india_pale_ale
AleSmith Brewing,San Diego,Lil Devil,?,?,?,?
AleSmith Brewing,San Diego,Old Numbskull 2003,10%,?,?,?
AleSmith Brewing,San Diego,Speedway Stout,12%,?,?,north_american_ale|american_style_imperial_stout
AleSmith Brewing,San Diego,Wee Heavy,9.5%,?,?,british_ale|scotch_ale
AleSmith Brewing,San Diego,X Extra Pale Ale,5%,?,?,north_american_ale|american_style_pale_ale
Alpine Beer Company,Alpine,Duet,7%,?,?,north_american_ale|american_style_india_pale_ale
Alpine Beer Company,Alpine,Nelson,7%,?,?,north_american_ale|american_style_india_pale_ale
Alpine Beer Company,Alpine,Pure Hoppiness,8%,?,?,north_american_ale|imperial_or_double_india_pale_ale
American River Brewing,Auburn,Oatmeal Stout,?,?,?,north_american_ale|american_style_stout
Anchor Brewing,San Francisco,Anchor Steam,4.9%,?,?,?
Anchor Brewing,San Francisco,Anchor Summer Beer,4.6%,?,?,other_style|light_american_wheat_ale_or_lager
Anchor Brewing,San Francisco,Bock,5.5%,?,?,german_lager|traditional_german_style_bock
Anchor Brewing,San Francisco,Christmas Ale 2003,?,?,?,?
Anchor Brewing,San Francisco,Christmas Ale 2007,?,?,?,?
Anchor Brewing,San Francisco,Liberty Ale,6%,?,?,north_american_ale|american_style_pale_ale
Anchor Brewing,San Francisco,Old Foghorn 1996,10%,?,?,?
Anchor Brewing,San Francisco,Old Foghorn 1998,10%,?,?,?
Anchor Brewing,San Francisco,Old Foghorn 2001,10%,?,?,?
Anchor Brewing,San Francisco,Old Foghorn 2002,10%,?,?,?
Anchor Brewing,San Francisco,Old Foghorn 2006,9.4%,?,?,?
Anchor Brewing,San Francisco,Our Special Ale 1992,?,?,?,?
Anchor Brewing,San Francisco,Our Special Ale 1994,?,?,?,?
Anchor Brewing,San Francisco,Our Special Ale 1995,?,?,?,?
Anchor Brewing,San Francisco,Our Special Ale 1996,?,?,?,?
Anchor Brewing,San Francisco,Our Special Ale 1997,?,?,?,?
Anchor Brewing,San Francisco,Porter,5.6%,?,?,irish_ale|porter
Anchor Brewing,San Francisco,Small Beer,3.3%,?,?,british_ale|english_style_pale_mild_ale
Anchor Brewing,San Francisco,Wheat,?,?,?,north_american_lager|american_style_lager
Anderson Valley Brewing,Boonville,Barney Flats Oatmeal Stout,5.7%,?,?,north_american_ale|american_style_stout
Anderson Valley Brewing,Boonville,Boont Amber Ale,5.8%,?,?,north_american_ale|american_style_amber_red_ale
Anderson Valley Brewing,Boonville,Deep Enders Dark,?,?,?,irish_ale|porter
Anderson Valley Brewing,Boonville,High Rollers Wheat Beer,?,?,?,north_american_lager|american_style_lager
Anderson Valley Brewing,Boonville,Hop Ottin IPA,7%,?,?,north_american_ale|american_style_india_pale_ale
Anderson Valley Brewing,Boonville,Horn of the Bear Barleywine,?,?,?,?
Anderson Valley Brewing,Boonville,Nitro Stout,?,?,?,north_american_ale|american_style_stout
Anderson Valley Brewing,Boonville,Summer Solstice Cerveza Crema,5.6%,?,?,other_style|american_style_cream_ale_or_lager
Anderson Valley Brewing,Boonville,Winter Solstice Seasonal Ale 1992,?,?,?,?
Anderson Valley Brewing,Boonville,Winter Solstice Seasonal Ale 2002,?,?,?,?
BJ's Restaurant and Brewery,Brea,BJ's Annual Grand Cru,10%,?,?,belgian_and_french_ale|belgian_style_pale_strong_ale
BJ's Restaurant and Brewery,Brea,Brewhouse Blonde,4.7%,?,?,?
BJ's Restaurant and Brewery,Brea,Harvest Hefeweizen,4.9%,?,?,german_ale|south_german_style_hefeweizen
BJ's Restaurant and Brewery,Brea,Jeremiah Red,7.3%,?,?,irish_ale|irish_style_red_ale
BJ's Restaurant and Brewery,Brea,Nit Wit,4.7%,?,?,belgian_and_french_ale|belgian_style_white
BJ's Restaurant and Brewery,Brea,Nutty Brewnette,5.9%,?,?,north_american_ale|american_style_brown_ale
BJ's Restaurant and Brewery,Brea,P.M. Porter,6.4%,?,?,irish_ale|porter
BJ's Restaurant and Brewery,Brea,Piranha Pale Ale,5.7%,?,?,north_american_ale|american_style_pale_ale
BJ's Restaurant and Brewery,Brea,Tatonka Stout,8.5%,?,?,north_american_ale|american_style_imperial_stout
Ballast Point Brewing,San Diego,Big Eye IPA,6%,?,?,north_american_ale|american_style_india_pale_ale
Ballast Point Brewing,San Diego,Black Marlin Porter,6%,?,?,irish_ale|porter
Ballast Point Brewing,San Diego,Calico Amber Ale,5%,?,?,north_american_ale|american_style_amber_red_ale
Ballast Point Brewing,San Diego,Come About Imperial Stout,9%,?,?,north_american_ale|american_style_imperial_stout
Ballast Point Brewing,San Diego,Dorado Double IPA,9.6%,?,?,north_american_ale|imperial_or_double_india_pale_ale
Ballast Point Brewing,San Diego,Navigator Doppelbock,8.9%,?,?,german_lager|german_style_doppelbock
Ballast Point Brewing,San Diego,Sculpin India Pale Ale,7%,?,?,north_american_ale|american_style_india_pale_ale
Ballast Point Brewing,San Diego,Wahoo Wheat Beer,4%,?,?,belgian_and_french_ale|belgian_style_white
Ballast Point Brewing,San Diego,Yellowtail Pale Ale,4.6%,?,?,?
Beach Chalet Brewery,San Francisco,Alexander Alt,?,?,?,north_american_ale|american_style_brown_ale
Beach Chalet Brewery,San Francisco,Endless Summer Cream Ale,?,?,?,north_american_lager|american_style_lager
Beach Chalet Brewery,San Francisco,Essex S.O.B.,?,?,?,?
Beach Chalet Brewery,San Francisco,Fleishhacker Stout,?,?,?,north_american_ale|american_style_stout
Beach Chalet Brewery,San Francisco,Playland Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
