Name,Address,City,State,Code,Website,Tags
21st Amendment Brewery Cafe,563 Second Street,San Francisco,CA,94107,?,?
AleSmith Brewing,9368 Cabot Drive,San Diego,CA,92126,?,?
Alpine Beer Company,2351 Alpine Boulevard,Alpine,CA,91901,?,?
American River Brewing,?,Auburn,CA,,?,?
Anchor Brewing,1705 Mariposa Street,San Francisco,CA,94107,?,?
Anderson Valley Brewing,17700 Boonville Rd,Boonville,CA,95415,?,?
BJ's Restaurant and Brewery,600 Brea Mall,Brea,CA,,?,?
Ballast Point Brewing,5401 Linda Vista Road #406,San Diego,CA,92110,?,?
Beach Chalet Brewery,1000 Great Highway,San Francisco,CA,94121,?,?
Bear Republic Brewery,345 Healdsburg Avenue,Healdsburg,CA,95448,?,?
Beermann's Beerwerks BrewPub,?,Lincoln,CA,,?,?
Bison Brewing,2598 Telegraph Avenue,Berkeley,CA,94704,?,?
Bonaventure Brewing Co,404 South Figueroa Street #418,Los Angeles,CA,90071,?,?
Bootleggers Steakhouse and Brewery,?,Bakersfield,CA,,?,?
Brew Makers,?,Mountain View,CA,,?,?
Brewpub-on-the-Green,?,Fremont,CA,,?,?
Bulldog Brewing,?,Fresno,CA,,?,?
Butte Creek Brewing,945 West Second Street,Chico,CA,95928,?,?
Butterfield Brewing #1,?,Fresno,CA,,?,?
CJ's Brewery & Grill,?,La Jolla,CA,,?,?
California Cider Company,?,San Rafael,CA,,?,?
Callahan's Pub and Brewery,8280-A Mira Mesa Boulevard,San Diego,CA,92126,?,?
Carmel Brewing,?,Salinas,CA,,?,?
Coast Range Brewing,7050 Monterey Street,Gilroy,CA,95020,?,?
Coastal Fog Brewing,?,Concord,CA,,?,?
Coronado Brewing Company,170 Orange Avenue,Coronado,CA,92118,?,?
Craftsman Brewing,1260 Lincoln Avenue #100,Pasadena,CA,91103,?,?
Del Mar Stuft Pizza and Brewing,?,San Diego,CA,,?,?
Dempsey's Restaurant & Brewery,50 East Washington Street,Petaluma,CA,94952,?,?
Devil's Canyon,?,Belmont,CA,,?,?
Drake's Brewing,1933 Davis Street #177,San Leandro,CA,94577,?,?
EJ Phair Brewing Company and Alehouse,2151 Salvio Street,Concord,CA,94520,?,?
Eel River Brewing,1777 Alamar Way,Fortuna,CA,95540,?,?
El Toro Brewing Company,17605 Monterey Road,Morgan Hill,CA,95037,?,?
Elk Grove Brewery & Restaurant,9085 Elk Grove Boulevard,Elk Grove,CA,95624,?,?
Emery Pub,?,Emeryville,CA,,?,?
English Ales Brewery,223 Reindollar Avenue,Marina,CA,93933,?,?
Etna Brewing,131 Callahan,Etna,CA,96027,?,?
Faultline Brewing #1,1235 Oakmead Parkway,Sunnyvale,CA,94086,?,?
Faultline Brewing #2,?,Walnut Creek,CA,94596,?,?
Fifty Fifty Brewing Co.,11197 Brockway Road,Truckee,CA,96161,?,?
Firehouse Grill & Brewery,111 South Murphy Avenue,Sunnyvale,CA,94086,?,?
Firestone Walker Brewing Company,1400 Ramada Drive,Paso Robles,CA,93446,?,?
Golden Gate Park Brewery,?,San Francisco,CA,,?,?
Golden Pacific Brewing,?,Berkeley,CA,,?,?
Gordon Biersch Brewing,357 East Taylor Street,San Jose,CA,95112,?,?
Green Flash Brewing,1430 Vantage Court #104A,Vista,CA,92083,?,?
Grizzly Bay Brewing,?,Suisun City,CA,,?,?
Half Moon Bay Brewing,390 Capistrano Road,Princeton by the Sea,CA,94019,?,?
HopTown Brewing,3015-D Hopyard Road,Pleasanton,CA,94588,?,?
Hoppy Brewing Company,6300 Folsom Boulevard,Sacramento,CA,95819,?,?
Hornsby's Pubdrafts Ltd.,600 Yosemite Boulevard,Modesto,CA,,?,?
Humboldt Brewing,856 10th Street,Arcata,CA,95521,?,?
Indian Wells Brewing,2565 North Highway 14,Inyokern,CA,93527,?,?
Iron Springs Pub & Brewery,765 Center Boulevard,Fairfax,CA,94930,?,?
