Brewery,City,Name,Abv,Ibu,Srm,Tags
Alameda Brewhouse,Portland,Irvington Porter,?,?,?,irish_ale|porter
BJ's Pizza | Grill | and Brewery - Jantzen Beach,Portland,Whiskey Stout,?,?,?,north_american_ale|american_style_stout
Bill's Tavern & Brewhouse,Cannon Beach,Thundermuck Stout,?,?,?,north_american_ale|american_style_stout
Blitz-Weinhard Brewing,Portland,Hazelnut Stout,?,?,?,?
BridgePort Brewing,Portland,Beer Town Brown,?,?,?,north_american_ale|american_style_brown_ale
BridgePort Brewing,Portland,Black Strap Stout,6%,?,?,north_american_ale|american_style_stout
BridgePort Brewing,Portland,Blue Heron Pale Ale,4.9%,?,?,?
BridgePort Brewing,Portland,Bottle Conditioned Porter,5.5%,?,?,irish_ale|porter
BridgePort Brewing,Portland,Bridgeport India Pale Ale,5.5%,?,?,north_american_ale|american_style_india_pale_ale
BridgePort Brewing,Portland,ESB,6.1%,?,?,?
BridgePort Brewing,Portland,Haymaker Extra Pale Ale,?,?,?,?
BridgePort Brewing,Portland,Old Knucklehead 1992,?,?,?,?
BridgePort Brewing,Portland,Old Knucklehead 1997,?,?,?,?
BridgePort Brewing,Portland,Old Knucklehead 1999,?,?,?,?
BridgePort Brewing,Portland,Old Knucklehead 2000,9.1%,?,?,?
BridgePort Brewing,Portland,Old Knucklehead 2003,9.1%,?,?,?
BridgePort Brewing,Portland,Porter,?,?,?,irish_ale|porter
Caldera Brewing,Ashland,Ashland Amber,5.5%,?,?,north_american_ale|american_style_amber_red_ale
Caldera Brewing,Ashland,Caldera IPA,6.1%,?,?,north_american_ale|american_style_india_pale_ale
Caldera Brewing,Ashland,Dark Lager,6.1%,?,?,north_american_lager|american_style_lager
Caldera Brewing,Ashland,Dry Hop Orange,5.4%,?,?,?
Caldera Brewing,Ashland,Dry Hop Red,5.7%,?,?,?
Caldera Brewing,Ashland,Hopportunity Knocks Ale,6.8%,?,?,north_american_ale|american_style_india_pale_ale
Caldera Brewing,Ashland,Pale Ale,5.4%,?,?,north_american_ale|american_style_pale_ale
Caldera Brewing,Ashland,Pilot Rock Porter,6%,?,?,irish_ale|porter
Caldera Brewing,Ashland,Pilsener Bier,5%,?,?,german_lager|german_style_pilsener
Deschutes Brewery,Bend,Bachelor Bitter,5.4%,?,?,british_ale|ordinary_bitter
Deschutes Brewery,Bend,Bachelor ESB,5.3%,?,?,british_ale|extra_special_bitter
