name,               size,  background, count, url


diypunks,      24x24, , 721, https://github.com/ordbase/generative-orc-721/raw/master/diypunks/i/diypunks_max721.png
diypunks-ii,   24x24, , 721, https://github.com/orc721/sandbox/raw/master/diypunks/i/diypunks.png
diypunks-pepe, 24x24, , 721, https://github.com/orc721/sandbox/raw/master/diypunks/i/diypunks-pepe.png

diyapes,       24x24, , 100, https://github.com/ordbase/generative-orc-721/raw/master/diyapes/i/diyapes.png
diyapes-ii,    24x24, , 100, https://github.com/orc721/sandbox/raw/master/diyapes/i/diyapes-ii.png
diyapes-pink,  24x24, , 100, https://github.com/orc721/sandbox/raw/master/diyapes/i/diyapes-pink.png
diyapes-gold,   24x24, , 100, https://github.com/orc721/sandbox/raw/master/diyapes/i/diyapes-gold.png
diyapes-bitcoin, 24x24, , 100, https://github.com/orc721/sandbox/raw/master/diyapes/i/diyapes-bitcoin.png
diyapes-pepe,   24x24,  , 100, https://github.com/orc721/sandbox/raw/master/diyapes/i/diyapes-pepe.png


diyaliens,   24x24, ,  100, https://github.com/ordbase/generative-orc-721/blob/master/diyaliens/i/diyaliens.png
diymartians, 24x24, ,  100, https://github.com/ordbase/generative-orc-721/blob/master/diymartians/i/diymartians.png

diymaxibiz,  24x24, , 100, https://github.com/ordbase/generative-orc-721/blob/master/diymaxibiz/i/diymaxibiz.png


ordinalpunks,       24x24, ,     100,  https://github.com/ordbase/ordinals.sandbox/raw/master/i/ordinalpunks.png
ordinalphunks,      24x24, ,     101,  https://github.com/ordbase/ordinals.sandbox/raw/master/i/ordinalphunks.png
lilordinalphunks,   24x24, ,     101,  https://github.com/ordbase/ordinals.sandbox/raw/master/i/lilordinalphunks.png
ordoggies,          32x32, ,     101,  https://github.com/ordbase/ordinals.sandbox/raw/master/i/ordoggies.png
bitcoinpunks,       24x24, ,     100,  https://github.com/ordbase/ordinals.sandbox/raw/master/i/bitcoinpunks-ii.png
taprootpunks,       24x24, ,     100,  https://github.com/ordbase/ordinals.sandbox/raw/master/i/taprootpunks-ii.png
forgottenpunks,     24x24, ,      80,  https://github.com/ordbase/ordinals.sandbox/raw/master/i/forgottenpunks-ii.png
cyberordinals,      24x24, ,      40,  https://github.com/ordbase/ordinals.sandbox/raw/master/i/cyberordinals-ii.png
ordinalumekopunks,  24x24, ,     100,  https://github.com/ordbase/ordinals.sandbox/raw/master/i/ordinalumekopunks-ii.png
gpunks,             24x24, true,  88,  https://github.com/ordbase/ordinals.sandbox/raw/master/i/gpunks.png
ordinalheropunks,   24x24, true,  50,  https://github.com/ordbase/ordinals.sandbox/raw/master/i/ordinalheropunks.png
litecoinpunks,      24x24, true, 100,  https://github.com/ordbase/ordinals.sandbox/raw/master/i/litecoinpunks.png
punkslite,          24x24, ,      99,  https://github.com/ordbase/ordinals.sandbox/raw/master/i/punkslite-ii.png
ordinaryapes,       24x24, true, 100,  https://github.com/ordbase/ordinals.sandbox/raw/master/i/ordinaryapes.png
pixelpepes,         24x24, true, 111,  https://github.com/ordbase/ordinals.sandbox/raw/master/i/pixelpepes.png
dogepunks,          28x28, true,  69,  https://github.com/ordbase/ordinals.sandbox/raw/master/i/dogepunks.png
extraordinalwomen,  32x32, ,     111,  https://github.com/ordbase/ordinals.sandbox/raw/master/i/extraordinalwomen.png
rightclickinscribe, 32x32, true, 40,   https://github.com/ordbase/ordinals.sandbox/raw/master/i/rightclickinscribe.png
ordinalkitties,     45x45, true, 100,  https://github.com/ordbase/ordinals.sandbox/raw/master/i/ordinalkitties.png
